bid_id,contract_id,source_id,source_vendor_id,bidder_name,bid_rank,bid_total,percent_of_low,is_apparent_low,is_awarded,source_page
ia_idot_20260616_15_0714_702_a_bid_3,ia_idot_20260616_15_0714_702_a,ia_idot_bid_tabs_2026_06_16,NO293,"JD PETERICK, INC DBA NORTHWEST ASPHALT MAINTENANCE",3,1409210.87,278.57,false,false,175
ia_idot_20260616_15_0714_702_a_bid_4,ia_idot_20260616_15_0714_702_a,ia_idot_bid_tabs_2026_06_16,DI060,"DIAMOND SURFACE, INC.",4,1628985.74,322.01,false,false,175
ia_idot_20260616_35_0352_733_bid_1,ia_idot_20260616_35_0352_733,ia_idot_bid_tabs_2026_06_16,MI331,"MIDWEST CONTRACTORS, INC.",1,119727.82,100.00,true,true,181
ia_idot_20260616_35_0352_733_bid_2,ia_idot_20260616_35_0352_733,ia_idot_bid_tabs_2026_06_16,HA760,HAWKEYE PAVING CORP.,2,149103.2,124.54,false,false,181
ia_idot_20260616_35_0352_733_bid_3,ia_idot_20260616_35_0352_733,ia_idot_bid_tabs_2026_06_16,CE040,"CEDAR FALLS CONSTRUCTION CO., INC.",3,153102.16,127.88,false,false,181
ia_idot_20260616_54_1495_717_bid_1,ia_idot_20260616_54_1495_717,ia_idot_bid_tabs_2026_06_16,T.033,"TK CONCRETE, INC.",1,117493.4,100.00,true,true,185
ia_idot_20260616_54_1495_717_bid_2,ia_idot_20260616_54_1495_717,ia_idot_bid_tabs_2026_06_16,TH316,THUNDER ROAD LLC,2,135016.86,114.91,false,false,185
ia_idot_20260616_54_1495_717_bid_3,ia_idot_20260616_54_1495_717,ia_idot_bid_tabs_2026_06_16,NO293,"JD PETERICK, INC DBA NORTHWEST ASPHALT MAINTENANCE",3,139983.17,119.14,false,false,185
ia_idot_20260616_54_1495_717_bid_4,ia_idot_20260616_54_1495_717,ia_idot_bid_tabs_2026_06_16,AS215,ASPHALT SURFACE TECHNOLOGIES CORPORATION A/K/A,4,151624.02,129.05,false,false,185
ia_idot_20260616_54_1495_717_bid_5,ia_idot_20260616_54_1495_717,ia_idot_bid_tabs_2026_06_16,FA041,"FAHRNER ASPHALT SEALERS, LLC",5,173408.86,147.59,false,false,185
ia_idot_20260616_57_3806_738_bid_1,ia_idot_20260616_57_3806_738,ia_idot_bid_tabs_2026_06_16,TA057,"TAVES CONTRACTING SERVICES, LLC",1,90478.25,100.00,true,true,191
ia_idot_20260616_57_3806_738_bid_2,ia_idot_20260616_57_3806_738,ia_idot_bid_tabs_2026_06_16,LO280,"LOVEWELL FENCING, INC.",2,140896,155.72,false,false,191
ia_idot_20260616_00_000t_415_bid_1,ia_idot_20260616_00_000t_415,ia_idot_bid_tabs_2026_06_16,IO250,"IOWA PLAINS SIGNING, INC.",1,3239540.1,100.00,true,true,195
ia_idot_20260616_00_000t_415_bid_2,ia_idot_20260616_00_000t_415,ia_idot_bid_tabs_2026_06_16,AD172,"ADVANCED TRAFFIC CONTROL, INC.",2,3377129,104.25,false,false,195
ia_idot_20260616_00_000t_426_bid_1,ia_idot_20260616_00_000t_426,ia_idot_bid_tabs_2026_06_16,K.100,"K & W ELECTRIC, INC.",1,229739.5,100.00,true,true,201
ia_idot_20260616_00_000t_426_bid_2,ia_idot_20260616_00_000t_426,ia_idot_bid_tabs_2026_06_16,VO080,"VOLTMER, INC.",2,247670.13,107.80,false,false,201
ia_idot_20260616_00_000t_439_bid_1,ia_idot_20260616_00_000t_439,ia_idot_bid_tabs_2026_06_16,SI083,SIGN UP LTD,1,848108,100.00,true,true,206
ia_idot_20260616_00_000t_439_bid_2,ia_idot_20260616_00_000t_439,ia_idot_bid_tabs_2026_06_16,IO250,"IOWA PLAINS SIGNING, INC.",2,1099734.5,129.67,false,false,206
ia_idot_20260616_00_000t_439_bid_3,ia_idot_20260616_00_000t_439,ia_idot_bid_tabs_2026_06_16,KO072,KOMO CONSTRUCTION LLC DBA A&H CO,3,1194494,140.84,false,false,206
ia_idot_20260616_00_000t_439_bid_4,ia_idot_20260616_00_000t_439,ia_idot_bid_tabs_2026_06_16,VO080,"VOLTMER, INC.",4,1658829.9,195.59,false,false,206
ia_idot_20260616_00_000t_439_bid_5,ia_idot_20260616_00_000t_439,ia_idot_bid_tabs_2026_06_16,K.100,"K & W ELECTRIC, INC.",5,1999908.5,235.81,false,false,206
ia_idot_20260616_56_0615_708_bid_1,ia_idot_20260616_56_0615_708,ia_idot_bid_tabs_2026_06_16,GR360,"DAVE GRYP CONSTRUCTION, INC.",1,45750,100.00,true,true,212
ia_idot_20260616_56_0615_708_bid_2,ia_idot_20260616_56_0615_708,ia_idot_bid_tabs_2026_06_16,LO280,"LOVEWELL FENCING, INC.",2,62500,136.61,false,false,212
ia_idot_20260616_56_0615_708_bid_3,ia_idot_20260616_56_0615_708,ia_idot_bid_tabs_2026_06_16,NA162,"RMD HOLDINGS, LTD. D/B/A NATIONWIDE CONSTRUCTION",3,75250,164.48,false,false,212
ia_idot_20260616_77_2352_700_bid_1,ia_idot_20260616_77_2352_700,ia_idot_bid_tabs_2026_06_16,AD172,"ADVANCED TRAFFIC CONTROL, INC.",1,1468533.5,100.00,true,true,216
ia_idot_20260616_77_2352_700_bid_2,ia_idot_20260616_77_2352_700,ia_idot_bid_tabs_2026_06_16,VO080,"VOLTMER, INC.",2,1759224.8,119.79,false,false,216
ia_idot_20260616_77_2352_700_bid_3,ia_idot_20260616_77_2352_700,ia_idot_bid_tabs_2026_06_16,K.100,"K & W ELECTRIC, INC.",3,1799827.75,122.56,false,false,216
ia_idot_20260616_60_0754_030_bid_1,ia_idot_20260616_60_0754_030,ia_idot_bid_tabs_2026_06_16,LO083,LODGE CONSTRUCTION INC.,1,48000,100.00,true,true,220
ia_idot_20260616_60_0754_030_bid_2,ia_idot_20260616_60_0754_030,ia_idot_bid_tabs_2026_06_16,LI030,"LIEBER CONSTRUCTION, INC.",2,118418.11,246.70,false,false,220
ia_idot_20260616_97_0121_077_bid_1,ia_idot_20260616_97_0121_077,ia_idot_bid_tabs_2026_06_16,TR445,"TRIPLE D CONTRACTING, INC.",1,56052,100.00,true,true,223
ia_idot_20260616_97_0121_077_bid_2,ia_idot_20260616_97_0121_077,ia_idot_bid_tabs_2026_06_16,NA090,"NATIONAL CONCRETE CUTTING, INC.",2,56500,100.80,false,false,223
ia_idot_20260616_97_0121_077_bid_3,ia_idot_20260616_97_0121_077,ia_idot_bid_tabs_2026_06_16,OB030,"OBAN CONSTRUCTION, INC.",3,74066,132.14,false,false,223
ia_idot_20260616_97_0121_077_bid_4,ia_idot_20260616_97_0121_077,ia_idot_bid_tabs_2026_06_16,LI030,"LIEBER CONSTRUCTION, INC.",4,87777.77,156.60,false,false,223
ia_idot_20260616_77_0651_511_bid_1,ia_idot_20260616_77_0651_511,ia_idot_bid_tabs_2026_06_16,BO413,"BOULDER CONTRACTING, LLC.",1,42000,100.00,true,true,227
ia_idot_20260616_77_0651_511_bid_2,ia_idot_20260616_77_0651_511,ia_idot_bid_tabs_2026_06_16,LO083,LODGE CONSTRUCTION INC.,2,45000,107.14,false,false,227
ia_idot_20260616_77_0651_511_bid_3,ia_idot_20260616_77_0651_511,ia_idot_bid_tabs_2026_06_16,RE300,"REILLY CONSTRUCTION CO., INC.",3,49500,117.86,false,false,227
ia_idot_20260616_77_0651_511_bid_4,ia_idot_20260616_77_0651_511,ia_idot_bid_tabs_2026_06_16,JA125,JAMES CONSTRUCTION LLC,4,78500,186.90,false,false,227
ia_idot_20260616_77_0691_504_bid_1,ia_idot_20260616_77_0691_504,ia_idot_bid_tabs_2026_06_16,BO413,"BOULDER CONTRACTING, LLC.",1,43000,100.00,true,true,231
ia_idot_20260616_77_0691_504_bid_2,ia_idot_20260616_77_0691_504,ia_idot_bid_tabs_2026_06_16,LO083,LODGE CONSTRUCTION INC.,2,44000,102.33,false,false,231
ia_idot_20260616_77_0691_504_bid_3,ia_idot_20260616_77_0691_504,ia_idot_bid_tabs_2026_06_16,RE300,"REILLY CONSTRUCTION CO., INC.",3,44500,103.49,false,false,231
ia_idot_20260616_15_0801_571_bid_1,ia_idot_20260616_15_0801_571,ia_idot_bid_tabs_2026_06_16,MI630,"BILL MILLER LOGGING, INC.",1,497755.25,100.00,true,true,234
ia_idot_20260616_15_0801_571_bid_2,ia_idot_20260616_15_0801_571,ia_idot_bid_tabs_2026_06_16,MO379,"MORRIS EARTHWORKS & LAND CLEARING, LLC",2,787200.5,158.15,false,false,234
ia_idot_20260616_15_0801_571_bid_3,ia_idot_20260616_15_0801_571,ia_idot_bid_tabs_2026_06_16,NA030,NAIL EXCAVATING LLC,3,883647.5,177.53,false,false,234
ia_idot_20260616_29_0612_109_bid_1,ia_idot_20260616_29_0612_109,ia_idot_bid_tabs_2026_06_16,ST525,"STEVENS EROSION CONTROL, INC.",1,281773.8,100.00,true,true,237
ia_idot_20260616_29_0612_109_bid_2,ia_idot_20260616_29_0612_109,ia_idot_bid_tabs_2026_06_16,AL485,"ALPHA LANDSCAPES, LLC",2,327881.2,116.36,false,false,237
ia_idot_20260616_29_0612_109_bid_3,ia_idot_20260616_29_0612_109,ia_idot_bid_tabs_2026_06_16,AB112,"ABSOLUTE CONCRETE CONSTRUCTION, INC.",3,373373,132.51,false,false,237
