item_code,description,unit,total_quantity,total_cost,average_low_bid_price,average_three_lowest_bids,bid_count,source_page
451E4918,Imported Trench Backfill,CuYd,2020,182079,90.14,89.93,2,15
451E4926,Water Main Bedding Material,Ft,1157,9389.7,8.12,7.67,2,15
451E4944,"6"" Sewer Pipe Bedding Material",Ft,68,476,7,8.13,1,15
451E4945,"8"" Sewer Pipe Bedding Material",Ft,899,6742.5,7.5,9.67,1,15
451E4947,"12"" Sewer Pipe Bedding Material",Ft,209,1828.75,8.75,13.83,1,15
451E5020,Trench Dewatering,Ft,774,774,1,0.97,2,15
451E5050,Trench 0' to 6' Deep,Ft,1184,53469.44,45.16,39.27,1,15
451E5052,Trench 8' to 10' Deep,Ft,25,2750,110,86.67,1,15
451E5053,Trench 10' to 12' Deep,Ft,124,18600,150,108.75,1,16
451E5054,Trench 12' to 14' Deep,Ft,25,4375,175,129.17,1,16
451E5100,"Bore and Jack 1.5"" Pipe",Ft,550,89188,162.16,156.17,1,16
451E5116,"Bore and Jack 16"" Pipe",Ft,510,318155.1,623.83,787.19,2,16
451E5118,"Bore and Jack 18"" Pipe",Ft,100,65000,650,701.67,1,16
451E5120,"Bore and Jack 20"" Pipe",Ft,140,89241.6,637.44,1029.38,1,16
451E5130,"Bore and Jack 30"" Pipe",Ft,730,656842.2,899.78,714.34,5,16
451E5148,"Bore and Jack 48"" Pipe",Ft,78,124020,1590,1386.67,1,16
451E5154,"Bore and Jack 54"" Pipe",Ft,176,336160,1910,1910,1,16
451E6050,Temporary Water Service,Each,110,139090.53,1264.46,1254.85,4,16
451E6055,Temporary Water Main Connection,Each,2,50000,25000,25000,1,16
451E6080,Adjust Water Valve Box,Each,34,15460,454.71,469.18,6,16
451E6100,Reconnect Water Service,Each,180,228976.88,1272.09,1083.58,4,16
451E6102,Water Main Lowering,Each,1,12500,12500,8850,1,16
451E6105,Connect To Existing Water Main,Each,56,487829.52,8711.24,8056.2,6,16
451E6106,Cut and Tie to Existing Water Main,Each,17,125844.95,7402.64,5752.18,2,16
451E6107,Temporary Water Main Bypass,Each,2,4100,2050,2495,1,16
451E6200,Connect Drain to Drop Inlet,Each,2,2200,1100,1700,1,16
451E6510,Move Fire Hydrant,Each,1,4500,4500,4166.67,1,16
451E6515,Remove and Reset Fire Hydrant,Each,2,3383.52,1691.76,1688.02,1,16
451E7010,Reconnect Sewer Service,Each,29,86750,2991.38,2364.1,2,16
451E7015,Connect Sewer Service,Each,2,3200,1600,1032.5,1,16
451E7016,Connect to Existing Sewer Main,Each,14,149250,10660.71,8809.21,2,16
451E7017,Abandon Sewer Main,Ft,861,4305,5,10.75,1,16
451E7020,Sewer Bypass Pumping,LS,2,253000,126500,65758.75,2,16
451E7300,Repair Drain Tile,Ft,100,4000,40,60,1,16
451E7500,Locate Utilities,Each,2,1101.88,550.94,1965.18,1,16
451E7510,Verify Utilities,Each,18,5679.7,315.54,477.83,2,16
460E0010,"Class A45 Concrete, Bridge Barrier",CuYd,22.7,95060,4187.67,4139.26,3,16
460E0028,"Class A45 Low Shrinkage Concrete, Bridge Deck",CuYd,1218.7,2131506.3,1749,1793.83,1,16
460E0030,"Class A45 Concrete, Bridge Deck",CuYd,5055.8,8593429.1,1699.72,1927.29,13,16
460E0050,"Class A45 Concrete, Bridge",CuYd,4686.6,6725186.17,1434.98,1527.08,16,16
460E0070,"Class A45 Concrete, Bridge Repair",CuYd,176.1,426931.31,2424.37,2482.19,7,16
460E0120,"Class A45 Concrete, Box Culvert",CuYd,7319.4,7402235.84,1011.32,1010.71,21,16
460E0150,Concrete Approach Slab for Bridge,SqYd,8605.2,3714828.96,431.7,469.9,16,16
460E0160,Concrete Approach Sleeper Slab for Bridge,SqYd,2288.2,1316360.8,575.28,594.37,16,16
460E0174,"Concrete Patching Material, Miscellaneous",CuFt,65.6,70447,1073.89,1126.78,3,16
