contract_id,category,details
sd_sddot_20210421_item_001,line_extension_difference,"sd_sddot_20210421_item_001_line_0096_002 preserves printed quantity 12, unit price 40.7, and extension 81888.4; difference=-81400."
sd_sddot_20210421_item_001,line_extension_difference,"sd_sddot_20210421_item_001_line_0096_003 preserves printed quantity 12, unit price 44.76, and extension 90057.12; difference=-89520."
sd_sddot_20210519_item_002,award_amount_difference,"Final award 5218455.15 resolves uniquely by vendor to abstract bid 5378455.15 for INTERSTATE IMPROVEMENT, INC.."
sd_sddot_20210519_item_002,bid_total_difference,sd_sddot_20210519_item_002_bid_001 preserves printed item total 5218455.16 and reported bid total 5378455.15; difference=-159999.99.
sd_sddot_20210519_item_002,bid_total_difference,sd_sddot_20210519_item_002_bid_002 preserves printed item total 4811381.99 and reported bid total 5504981.99; difference=-693600.
sd_sddot_20210519_item_002,bid_total_difference,sd_sddot_20210519_item_002_bid_003 preserves printed item total 4984090.03 and reported bid total 5556890.02; difference=-572799.99.
sd_sddot_20210721_item_001,line_extension_difference,"sd_sddot_20210721_item_001_line_0008_001 preserves printed quantity 101, unit price 34.52, and extension 452246.52; difference=-448760."
sd_sddot_20210721_item_001,line_extension_difference,"sd_sddot_20210721_item_001_line_0008_002 preserves printed quantity 101, unit price 34, and extension 445434; difference=-442000."
sd_sddot_20210901_item_001,abstract_parse,page 8 line 168: malformed quantity ''
sd_sddot_20210901_item_001,bid_total_difference,sd_sddot_20210901_item_001_bid_001 preserves printed item total 20988187.88 and reported bid total 20993728.92; difference=-5541.04.
sd_sddot_20210901_item_001,bid_total_difference,sd_sddot_20210901_item_001_bid_002 preserves printed item total 21873857.83 and reported bid total 21880170.43; difference=-6312.6.
sd_sddot_20211020_item_002,line_extension_difference,"sd_sddot_20211020_item_002_line_0098_001 preserves printed quantity 2, unit price 550, and extension 6600; difference=-5500."
sd_sddot_20211020_item_002,line_extension_difference,"sd_sddot_20211020_item_002_line_0098_002 preserves printed quantity 2, unit price 526, and extension 6312; difference=-5260."
sd_sddot_20211020_item_002,line_extension_difference,"sd_sddot_20211020_item_002_line_0098_003 preserves printed quantity 2, unit price 510, and extension 6120; difference=-5100."
sd_sddot_20211020_item_002,line_extension_difference,"sd_sddot_20211020_item_002_line_0098_004 preserves printed quantity 2, unit price 500, and extension 6000; difference=-5000."
sd_sddot_20211020_item_002,line_extension_difference,"sd_sddot_20211020_item_002_line_0098_005 preserves printed quantity 2, unit price 500, and extension 6000; difference=-5000."
sd_sddot_20211103_item_001,abstract_parse,page 8 line 151: malformed quantity ''
sd_sddot_20211103_item_001,abstract_parse,page 20 line 151: malformed quantity ''
sd_sddot_20211103_item_001,bid_total_difference,sd_sddot_20211103_item_001_bid_001 preserves printed item total 22618205.37 and reported bid total 22618378.6; difference=-173.23.
sd_sddot_20211103_item_001,bid_total_difference,sd_sddot_20211103_item_001_bid_002 preserves printed item total 24040442.45 and reported bid total 24040624.11; difference=-181.66.
sd_sddot_20211103_item_001,bid_total_difference,sd_sddot_20211103_item_001_bid_003 preserves printed item total 26053480.4 and reported bid total 26053648.4; difference=-168.
sd_sddot_20211117_item_003,project_pcn_cardinality,"Project No. values 'BR CSBP(01)' do not align with PCN values '07ME, 07NM, 07NK,'."
sd_sddot_20211117_item_005,line_extension_difference,"sd_sddot_20211117_item_005_line_0161_001 preserves printed quantity 533, unit price 75.06, and extension 115066.98; difference=-75060."
sd_sddot_20211117_item_005,line_extension_difference,"sd_sddot_20211117_item_005_line_0161_002 preserves printed quantity 533, unit price 35.7, and extension 54728.1; difference=-35700."
sd_sddot_20211117_item_005,line_extension_difference,"sd_sddot_20211117_item_005_line_0161_003 preserves printed quantity 533, unit price 35, and extension 53655; difference=-35000."
sd_sddot_20211117_item_005,line_extension_difference,"sd_sddot_20211117_item_005_line_0161_004 preserves printed quantity 533, unit price 48.5, and extension 74350.5; difference=-48500."
sd_sddot_20211117_item_006,project_pcn_cardinality,"Project No. values 'IM 0906(75)263' do not align with PCN values '04NK, X05C'."
sd_sddot_20211201_item_001,award_amount_difference,"Final award 11925649.21 resolves uniquely by vendor to abstract bid 12300649.21 for J & J EARTH WORKS, INC."
sd_sddot_20211201_item_001,bid_total_difference,sd_sddot_20211201_item_001_bid_001 preserves printed item total 11925649.22 and reported bid total 12300649.21; difference=-374999.99.
sd_sddot_20211201_item_001,bid_total_difference,sd_sddot_20211201_item_001_bid_002 preserves printed item total 11885547.84 and reported bid total 12585547.84; difference=-700000.
sd_sddot_20211201_item_001,bid_total_difference,sd_sddot_20211201_item_001_bid_003 preserves printed item total 11049575.73 and reported bid total 12799575.73; difference=-1750000.
sd_sddot_20211201_item_007,abstract_parse,page 68 line 42: inconsistent repeated schedule row
sd_sddot_20211201_item_007,abstract_parse,page 81 line 42: inconsistent repeated schedule row
sd_sddot_20211201_item_007,abstract_parse,page 94 line 42: inconsistent repeated schedule row
sd_sddot_20211201_item_007,bid_total_difference,sd_sddot_20211201_item_007_bid_002 preserves printed item total 35392614.47 and reported bid total 37741174.46; difference=-2348559.99.
sd_sddot_20211201_item_007,bid_total_difference,sd_sddot_20211201_item_007_bid_004 preserves printed item total 37822661.01 and reported bid total 40171220.99; difference=-2348559.98.
sd_sddot_20211201_item_007,line_extension_difference,"sd_sddot_20211201_item_007_line_0042_002 preserves printed quantity 469712, unit price 5, and extension 0; difference=2348560."
sd_sddot_20211201_item_007,line_extension_difference,"sd_sddot_20211201_item_007_line_0042_004 preserves printed quantity 469712, unit price 5, and extension 0; difference=2348560."
sd_sddot_20211215_item_001,abstract_parse,page 11 line 220: malformed quantity ''
sd_sddot_20211215_item_001,abstract_parse,page 29 line 220: malformed quantity ''
sd_sddot_20211215_item_001,bid_total_difference,sd_sddot_20211215_item_001_bid_001 preserves printed item total 35552545.02 and reported bid total 35568714; difference=-16168.98.
sd_sddot_20211215_item_001,bid_total_difference,sd_sddot_20211215_item_001_bid_002 preserves printed item total 37680628 and reported bid total 37697500; difference=-16872.
sd_sddot_20211215_item_001,bid_total_difference,sd_sddot_20211215_item_001_bid_003 preserves printed item total 38081447.78 and reported bid total 38097897.97; difference=-16450.19.
