item_code_raw,item_code,official_description,official_unit,is_deleted
110E1940,110E1940,Remove Underground Storage Tank,Each,false
110E1950,110E1950,Remove Contaminated Water,MGal,false
110E1960,110E1960,Remove Valve Box,Each,false
110E1965,110E1965,Remove Gate Valve,Each,false
110E1970,110E1970,Remove Water Main,Ft,false
110E1980,110E1980,Remove Concrete Vault Toilet (SST),Each,false
110E3000,110E3000,Salvage Brick Pavers,SqFt,false
110E3470,110E3470,Salvage Large Block Retaining Wall,SqFt,false
110E4000,110E4000,Salvage Crash Cushion,Each,false
110E4090,110E4090,Salvage Interim Crossover Closure,Ft,false
110E4100,110E4100,Salvage 3 Cable Guardrail,Ft,false
110E4105,110E4105,Salvage High Tension 3 Cable Guardrail,Ft,false
110E4106,110E4106,Salvage High Tension 4 Cable Guardrail,Ft,false
110E4110,110E4110,Salvage 3 Cable Guardrail Anchor Assembly,Each,false
110E4115,110E4115,Salvage High Tension 3 Cable Guardrail Anchor Assembly,Each,false
110E4116,110E4116,Salvage High Tension 4 Cable Guardrail Anchor Assembly,Each,false
110E4290,110E4290,Salvage Beam Guardrail,Ft,false
110E4292,110E4292,Salvage Type 1 MGS,Ft,false
110E4300,110E4300,Salvage Double Thrie Beam Guardrail,Ft,false
110E4310,110E4310,Salvage Thrie Beam Guardrail,Ft,false
110E4320,110E4320,Salvage Double W Beam Guardrail,Ft,false
110E4330,110E4330,Salvage W Beam Guardrail,Ft,false
110E4340,110E4340,Salvage W Beam to Thrie Beam Guardrail Transition,Each,false
110E4342,110E4342,Salvage Type 1 Guardrail Transition,Each,false
110E4343,110E4343,Salvage Type 3 Guardrail Transition,Each,false
110E4350,110E4350,Salvage Beam Guardrail Trailing End Terminal,Each,false
110E4360,110E4360,Salvage W Beam Guardrail Breakaway Cable Terminal,Each,false
110E4370,110E4370,Salvage W Beam Guardrail Flared End Terminal,Each,false
110E4380,110E4380,Salvage W Beam Guardrail Tangent End Terminal,Each,false
110E4390,110E4390,Salvage MGS MASH Tangent End Terminal,Each,false
110E4600,110E4600,Salvage Traffic Control Barrier End Protection,Each,false
110E5000,110E5000,Salvage Sign Bridge,Each,false
110E5010,110E5010,Salvage Delineator,Each,false
110E5020,110E5020,Salvage Traffic Sign,Each,false
110E5030,110E5030,Salvage Extruded Panel Sign,Each,false
110E5040,110E5040,Salvage Road Closure Gate,Each,false
110E5100,110E5100,Salvage Luminaire Pole,Each,false
110E5105,110E5105,Salvage Luminaire,Each,false
110E5110,110E5110,Salvage Signal Equipment,LS,false
110E5150,110E5150,Salvage Fiber Optic Cable,Ft,false
110E5450,110E5450,Salvage Riprap,CuYd,false
110E5451,110E5451,Salvage Riprap,Ton,false
110E5500,110E5500,Salvage Pipe,Ft,false
110E5510,110E5510,Salvage Pipe End Section,Each,false
110E5520,110E5520,Salvage Smooth Tapered Sleeve,Each,false
110E5600,110E5600,Salvage Cattle Guard,Each,false
110E5700,110E5700,Salvage Manhole Frame and Lid,Each,false
110E5720,110E5720,Salvage Drop Inlet Frame and Grate Assembly,Each,false
110E5730,110E5730,Salvage Water Main,Ft,false
110E5740,110E5740,Salvage Fire Hydrant,Each,false
110E5750,110E5750,Salvage Fire Hydrant with Valve and Box,Each,false
110E5760,110E5760,Salvage Valve,Each,false
110E5765,110E5765,Salvage Valve and Valve Box,Each,false
110E5770,110E5770,Salvage Valve Box,Each,false
110E5780,110E5780,Salvage Gate Valve,Each,false
110E5790,110E5790,Salvage Water Main Fitting,Each,false
110E5795,110E5795,Salvage Curb Stop,Each,false
110E5800,110E5800,Salvage Fence,Ft,false
110E5810,110E5810,Salvage Chain Link Fence,Ft,false
110E5820,110E5820,Salvage Concrete Vault Toilet (SST),Each,false
110E5900,110E5900,Salvage Bridge Railing,Ft,false
110E6000,110E6000,Remove 3 Cable Guardrail for Reset,Ft,false
110E6005,110E6005,Remove High Tension 3 Cable Guardrail for Reset,Ft,false
110E6006,110E6006,Remove High Tension 4 Cable Guardrail for Reset,Ft,false
110E6010,110E6010,Remove 3 Cable Guardrail Anchor Assembly for Reset,Each,false
110E6015,110E6015,Remove High Tension 3 Cable Guardrail Anchor Assembly for Reset,Each,false
110E6016,110E6016,Remove High Tension 4 Cable Guardrail Anchor Assembly for Reset,Each,false
110E6200,110E6200,Remove Double Thrie Beam Guardrail for Reset,Ft,false
110E6210,110E6210,Remove Thrie Beam Guardrail for Reset,Ft,false
110E6220,110E6220,Remove Double W Beam Guardrail for Reset,Ft,false
110E6230,110E6230,Remove W Beam Guardrail for Reset,Ft,false
110E6240,110E6240,Remove W Beam to Thrie Beam Guardrail Transition for Reset,Each,false
110E6250,110E6250,Remove Beam Guardrail Trailing End Terminal for Reset,Each,false
110E6260,110E6260,Remove W Beam Guardrail Breakaway Cable Terminal for Reset,Each,false
110E6269,110E6269,Remove W Beam Guardrail End Terminal for Reset,Each,false
110E6270,110E6270,Remove W Beam Guardrail Flared End Terminal for Reset,Each,false
110E6280,110E6280,Remove W Beam Guardrail Tangent End Terminal for Reset,Each,false
110E6300,110E6300,Remove Rubrail for Reset,Ft,false
110E6410,110E6410,Remove Type 1 MGS for Reset,Ft,false
110E6500,110E6500,Remove Type 1 Guardrail Transition for Reset,Each,false
110E6501,110E6501,Remove Type 1 Retrofit Guardrail Transition for Reset,Each,false
110E6505,110E6505,Remove Type 2A Guardrail Transition for Reset,Each,false
110E6510,110E6510,Remove Type 3 Guardrail Transition for Reset,Each,false
110E6618,110E6618,Remove MGS MASH Flared End Terminal for Reset,Each,false
110E6619,110E6619,Remove MGS MASH Tangent End Terminal for Reset,Each,false
110E7000,110E7000,Remove Crossover Closure for Reset,Ft,false
110E7020,110E7020,Remove Interim Crossover Closure for Reset,Ft,false
