contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
cdot_2025q4_mtcer200_296_project_1,cdot_2025q4_mtcer200_296,MTCER200-296,REGION 2 VARIOUS HIGHWAYS AND,Roadway,Colorado / CDOT District 2,,MTCER200-296 REGION 2 VARIOUS HIGHWAYS AND,993522.30
cdot_2025q4_mtcer200_297_project_1,cdot_2025q4_mtcer200_297,MTCER200-297,REGION 2 EL PASO COUNTY COLORA,Roadway,Colorado / CDOT District 2,,MTCER200-297 REGION 2 EL PASO COUNTY COLORA,235510.00
cdot_2025q4_mtcer200_299_project_1,cdot_2025q4_mtcer200_299,MTCER200-299,R2 VARIOUS HIGHWAYS AND COUTNI,Roadway,Colorado / CDOT District 2,,MTCER200-299 R2 VARIOUS HIGHWAYS AND COUTNI,3546943.50
cdot_2025q4_mtcer200_301_project_1,cdot_2025q4_mtcer200_301,MTCER200-301,R2 VARIOUS HIGHWAYS AND COUNTI,Roadway,Colorado / CDOT District 2,,MTCER200-301 R2 VARIOUS HIGHWAYS AND COUNTI,1781582.00
cdot_2025q4_mtcer300_288_project_1,cdot_2025q4_mtcer300_288,MTCER300-288,I-70 MM 0-205 REGION WIDE,Roadway,Colorado / CDOT District 3,,MTCER300-288 I-70 MM 0-205 REGION WIDE,1994789.44
cdot_2025q4_mtcer400_411_project_1,cdot_2025q4_mtcer400_411,MTCER400-411,SH157 MP3.518 D-16-DG AND I70,Roadway,Colorado / CDOT District 4,,MTCER400-411 SH157 MP3.518 D-16-DG AND I70,612588.00
cdot_2025q4_mtcer400_415_project_1,cdot_2025q4_mtcer400_415,MTCER400-415,REGION 4,Roadway,Colorado / CDOT District 4,,MTCER400-415 REGION 4,2542335.29
cdot_2025q4_mtcer500_233_project_1,cdot_2025q4_mtcer500_233,MTCER500-233,REGION 5,Roadway,Colorado / CDOT District 5,,MTCER500-233 REGION 5,1834021.50
cdot_2025q4_nh0243_097_project_1,cdot_2025q4_nh0243_097,NH0243-097,US 24 - MP 332.02 TO MP 342.65,Roadway,Colorado / CDOT District 2,,NH0243-097 US 24 - MP 332.02 TO MP 342.65,11325943.09
cdot_2025q4_nh160a_036_project_1,cdot_2025q4_nh160a_036,NH160A-036,US160A HUERFANO MP 294.4 TO 30,Roadway,Colorado / CDOT District 2,,NH160A-036 US160A HUERFANO MP 294.4 TO 30,9155884.13
cdot_2025q4_nhpp0062_040_project_1,cdot_2025q4_nhpp0062_040,NHPP0062-040,VASQUEZ BLVD - I270 TO 64TH -,Roadway,Colorado / CDOT District 6,,NHPP0062-040 VASQUEZ BLVD - I270 TO 64TH -,10683069.23
cdot_2025q4_nhpp0072_033_project_1,cdot_2025q4_nhpp0072_033,NHPP0072-033,CO7 28TH ST TO CHERRYVALE RD (,Roadway,Colorado / CDOT District 4,,NHPP0072-033 CO7 28TH ST TO CHERRYVALE RD (,8058760.55
cdot_2025q4_nhpp0241_070_project_1,cdot_2025q4_nhpp0241_070,NHPP0241-070,US 24 MP 192.73 TO 202.30,Roadway,Colorado / CDOT District 5,,NHPP0241-070 US 24 MP 192.73 TO 202.30,6480440.65
cdot_2025q4_nhpp0253_302_project_1,cdot_2025q4_nhpp0253_302,NHPP0253-302,I-25 SEGMENT 5 (MP 242.5 TO 25,Roadway,Colorado / CDOT District 4,,NHPP0253-302 I-25 SEGMENT 5 (MP 242.5 TO 25,78893355.45
cdot_2025q4_nhpp0402_107_project_1,cdot_2025q4_nhpp0402_107,NHPP0402-107,"R3 US 40 MILNER EAST AND WEST,",Roadway,Colorado / CDOT District 3,,"NHPP0402-107 R3 US 40 MILNER EAST AND WEST,",12017516.10
cdot_2025q4_nhpp0403_063_project_1,cdot_2025q4_nhpp0403_063,NHPP0403-063,US40 RESURFACING MP 252-258.3,Roadway,Colorado / CDOT District 1,,NHPP0403-063 US40 RESURFACING MP 252-258.3,11822056.73
cdot_2025q4_nhpp0403_069_project_1,cdot_2025q4_nhpp0403_069,NHPP0403-069,US 40 MP 215.90 - 219.88 IN GR,Roadway,Colorado / CDOT District 3,,NHPP0403-069 US 40 MP 215.90 - 219.88 IN GR,5792196.70
cdot_2025q4_nhpp0501_071_project_1,cdot_2025q4_nhpp0501_071,NHPP0501-071,US50 DELTA RESURFACE MP 72 WES,Roadway,Colorado / CDOT District 3,,NHPP0501-071 US50 DELTA RESURFACE MP 72 WES,7587320.55
cdot_2025q4_nhpp0501_080_project_1,cdot_2025q4_nhpp0501_080,NHPP0501-080,SH50A MP 89.93 CEADAR CREEK,Roadway,Colorado / CDOT District 3,,NHPP0501-080 SH50A MP 89.93 CEADAR CREEK,4999614.34
cdot_2025q4_nhpp0701_257_project_1,cdot_2025q4_nhpp0701_257,NHPP0701-257,MP 138-148 ON I-70 IN EAGLE CO,Roadway,Colorado / CDOT District 3,,NHPP0701-257 MP 138-148 ON I-70 IN EAGLE CO,18121443.25
cdot_2025q4_nhpp0701_260_project_1,cdot_2025q4_nhpp0701_260,NHPP0701-260,I-70 MP 80.5 TO MP 88 IN GARFI,Roadway,Colorado / CDOT District 3,,NHPP0701-260 I-70 MP 80.5 TO MP 88 IN GARFI,8192268.13
cdot_2025q4_nhpp0702_428_project_1,cdot_2025q4_nhpp0702_428,NHPP0702-428,I-70 THROUGH GLENWOOD CANYON I,Roadway,Colorado / CDOT District 3,,NHPP0702-428 I-70 THROUGH GLENWOOD CANYON I,6295000.00
cdot_2025q4_nhpp0703_517_project_1,cdot_2025q4_nhpp0703_517,NHPP0703-517,I-70 TOP OF FLOYD HILL TO VETE,Roadway,Colorado / CDOT District 1,,NHPP0703-517 I-70 TOP OF FLOYD HILL TO VETE,434861012.42
cdot_2025q4_nhpp0703_536_project_1,cdot_2025q4_nhpp0703_536,NHPP0703-536,I-70 DILLON TO EJMT MM 204 TO,Roadway,Colorado / CDOT District 3,,NHPP0703-536 I-70 DILLON TO EJMT MM 204 TO,3373121.00
cdot_2025q4_nhpp0704_260_project_1,cdot_2025q4_nhpp0704_260,NHPP0704-260,I-70 AND PENA BLVD OVERPASS,Roadway,Colorado / CDOT District 6,,NHPP0704-260 I-70 AND PENA BLVD OVERPASS,818181.81
cdot_2025q4_nhpp0705_083_project_1,cdot_2025q4_nhpp0705_083,NHPP0705-083,I-70: SEIBERT EAST PART 2,Roadway,Colorado / CDOT District 4,,NHPP0705-083 I-70: SEIBERT EAST PART 2,30092191.10
cdot_2025q4_nhpp070a_042_project_1,cdot_2025q4_nhpp070a_042,NHPP070A-042,I70B EAST OF 3RD STREET,Roadway,Colorado / CDOT District 3,,NHPP070A-042 I70B EAST OF 3RD STREET,13244314.90
cdot_2025q4_nhpp085a_020_project_1,cdot_2025q4_nhpp085a_020,NHPP085A-020,US85:I-76 TO 124TH AVENUE OVER,Roadway,Colorado / CDOT District 6,,NHPP085A-020 US85:I-76 TO 124TH AVENUE OVER,7290197.96
cdot_2025q4_nhpp1602_194_project_1,cdot_2025q4_nhpp1602_194,NHPP1602-194,US 160 MP 174.1,Roadway,Colorado / CDOT District 5,,NHPP1602-194 US 160 MP 174.1,1791461.00
cdot_2025q4_nhpp2254_095_project_1,cdot_2025q4_nhpp2254_095,NHPP2254-095,I-225 @ 2ND AND 6TH AVES,Roadway,Colorado / CDOT District 1,,NHPP2254-095 I-225 @ 2ND AND 6TH AVES,2780679.42
