agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
co_cdot_202-00248,CO,co_cdot,CDOT,202-00248,co_cdot_202-00248_v2026,current,
co_cdot_202-00250,CO,co_cdot,CDOT,202-00250,co_cdot_202-00250_v2026,current,
co_cdot_202-00251,CO,co_cdot,CDOT,202-00251,co_cdot_202-00251_v2026,current,
co_cdot_202-00252,CO,co_cdot,CDOT,202-00252,co_cdot_202-00252_v2026,current,
co_cdot_202-00254,CO,co_cdot,CDOT,202-00254,co_cdot_202-00254_v2026,current,
co_cdot_202-00256,CO,co_cdot,CDOT,202-00256,co_cdot_202-00256_v2026,current,
co_cdot_202-00260,CO,co_cdot,CDOT,202-00260,co_cdot_202-00260_v2026,current,
co_cdot_202-00300,CO,co_cdot,CDOT,202-00300,co_cdot_202-00300_v2026,current,
co_cdot_202-00400,CO,co_cdot,CDOT,202-00400,co_cdot_202-00400_v2026,current,
co_cdot_202-00401,CO,co_cdot,CDOT,202-00401,co_cdot_202-00401_v2026,current,
co_cdot_202-00405,CO,co_cdot,CDOT,202-00405,co_cdot_202-00405_v2026,current,
co_cdot_202-00410,CO,co_cdot,CDOT,202-00410,co_cdot_202-00410_v2026,current,
co_cdot_202-00420,CO,co_cdot,CDOT,202-00420,co_cdot_202-00420_v2026,current,
co_cdot_202-00425,CO,co_cdot,CDOT,202-00425,co_cdot_202-00425_v2026,current,
co_cdot_202-00426,CO,co_cdot,CDOT,202-00426,co_cdot_202-00426_v2026,current,
co_cdot_202-00450,CO,co_cdot,CDOT,202-00450,co_cdot_202-00450_v2026,current,
co_cdot_202-00453,CO,co_cdot,CDOT,202-00453,co_cdot_202-00453_v2026,current,
co_cdot_202-00457,CO,co_cdot,CDOT,202-00457,co_cdot_202-00457_v2026,current,
co_cdot_202-00458,CO,co_cdot,CDOT,202-00458,co_cdot_202-00458_v2026,current,
co_cdot_202-00460,CO,co_cdot,CDOT,202-00460,co_cdot_202-00460_v2026,current,
co_cdot_202-00480,CO,co_cdot,CDOT,202-00480,co_cdot_202-00480_v2026,current,
co_cdot_202-00495,CO,co_cdot,CDOT,202-00495,co_cdot_202-00495_v2026,current,
co_cdot_202-00500,CO,co_cdot,CDOT,202-00500,co_cdot_202-00500_v2026,current,
co_cdot_202-00502,CO,co_cdot,CDOT,202-00502,co_cdot_202-00502_v2026,current,
co_cdot_202-00503,CO,co_cdot,CDOT,202-00503,co_cdot_202-00503_v2026,current,
co_cdot_202-00504,CO,co_cdot,CDOT,202-00504,co_cdot_202-00504_v2026,current,
co_cdot_202-00505,CO,co_cdot,CDOT,202-00505,co_cdot_202-00505_v2026,current,
co_cdot_202-00506,CO,co_cdot,CDOT,202-00506,co_cdot_202-00506_v2026,current,
co_cdot_202-00510,CO,co_cdot,CDOT,202-00510,co_cdot_202-00510_v2026,current,
co_cdot_202-00514,CO,co_cdot,CDOT,202-00514,co_cdot_202-00514_v2026,current,
co_cdot_202-00520,CO,co_cdot,CDOT,202-00520,co_cdot_202-00520_v2026,current,
co_cdot_202-00600,CO,co_cdot,CDOT,202-00600,co_cdot_202-00600_v2026,current,
co_cdot_202-00610,CO,co_cdot,CDOT,202-00610,co_cdot_202-00610_v2026,current,
co_cdot_202-00621,CO,co_cdot,CDOT,202-00621,co_cdot_202-00621_v2026,current,
co_cdot_202-00700,CO,co_cdot,CDOT,202-00700,co_cdot_202-00700_v2026,current,
co_cdot_202-00705,CO,co_cdot,CDOT,202-00705,co_cdot_202-00705_v2026,current,
co_cdot_202-00710,CO,co_cdot,CDOT,202-00710,co_cdot_202-00710_v2026,current,
co_cdot_202-00715,CO,co_cdot,CDOT,202-00715,co_cdot_202-00715_v2026,current,
co_cdot_202-00720,CO,co_cdot,CDOT,202-00720,co_cdot_202-00720_v2026,current,
co_cdot_202-00725,CO,co_cdot,CDOT,202-00725,co_cdot_202-00725_v2026,current,
co_cdot_202-00750,CO,co_cdot,CDOT,202-00750,co_cdot_202-00750_v2026,current,
co_cdot_202-00800,CO,co_cdot,CDOT,202-00800,co_cdot_202-00800_v2026,current,
co_cdot_202-00805,CO,co_cdot,CDOT,202-00805,co_cdot_202-00805_v2026,current,
co_cdot_202-00806,CO,co_cdot,CDOT,202-00806,co_cdot_202-00806_v2026,current,
co_cdot_202-00810,CO,co_cdot,CDOT,202-00810,co_cdot_202-00810_v2026,current,
co_cdot_202-00815,CO,co_cdot,CDOT,202-00815,co_cdot_202-00815_v2026,current,
co_cdot_202-00821,CO,co_cdot,CDOT,202-00821,co_cdot_202-00821_v2026,current,
co_cdot_202-00823,CO,co_cdot,CDOT,202-00823,co_cdot_202-00823_v2026,current,
co_cdot_202-00825,CO,co_cdot,CDOT,202-00825,co_cdot_202-00825_v2026,current,
co_cdot_202-00827,CO,co_cdot,CDOT,202-00827,co_cdot_202-00827_v2026,current,
co_cdot_202-00828,CO,co_cdot,CDOT,202-00828,co_cdot_202-00828_v2026,current,
co_cdot_202-00830,CO,co_cdot,CDOT,202-00830,co_cdot_202-00830_v2026,current,
co_cdot_202-00831,CO,co_cdot,CDOT,202-00831,co_cdot_202-00831_v2026,current,
co_cdot_202-00832,CO,co_cdot,CDOT,202-00832,co_cdot_202-00832_v2026,current,
co_cdot_202-00840,CO,co_cdot,CDOT,202-00840,co_cdot_202-00840_v2026,current,
co_cdot_202-00842,CO,co_cdot,CDOT,202-00842,co_cdot_202-00842_v2026,current,
co_cdot_202-00845,CO,co_cdot,CDOT,202-00845,co_cdot_202-00845_v2026,current,
co_cdot_202-00848,CO,co_cdot,CDOT,202-00848,co_cdot_202-00848_v2026,current,
co_cdot_202-00855,CO,co_cdot,CDOT,202-00855,co_cdot_202-00855_v2026,current,
co_cdot_202-00858,CO,co_cdot,CDOT,202-00858,co_cdot_202-00858_v2026,current,
co_cdot_202-00860,CO,co_cdot,CDOT,202-00860,co_cdot_202-00860_v2026,current,
co_cdot_202-00870,CO,co_cdot,CDOT,202-00870,co_cdot_202-00870_v2026,current,
co_cdot_202-00873,CO,co_cdot,CDOT,202-00873,co_cdot_202-00873_v2026,current,
co_cdot_202-00880,CO,co_cdot,CDOT,202-00880,co_cdot_202-00880_v2026,current,
co_cdot_202-00882,CO,co_cdot,CDOT,202-00882,co_cdot_202-00882_v2026,current,
co_cdot_202-00887,CO,co_cdot,CDOT,202-00887,co_cdot_202-00887_v2026,current,
co_cdot_202-00888,CO,co_cdot,CDOT,202-00888,co_cdot_202-00888_v2026,current,
co_cdot_202-00889,CO,co_cdot,CDOT,202-00889,co_cdot_202-00889_v2026,current,
co_cdot_202-00890,CO,co_cdot,CDOT,202-00890,co_cdot_202-00890_v2026,current,
co_cdot_202-00895,CO,co_cdot,CDOT,202-00895,co_cdot_202-00895_v2026,current,
co_cdot_202-00900,CO,co_cdot,CDOT,202-00900,co_cdot_202-00900_v2026,current,
co_cdot_202-00950,CO,co_cdot,CDOT,202-00950,co_cdot_202-00950_v2026,current,
co_cdot_202-01000,CO,co_cdot,CDOT,202-01000,co_cdot_202-01000_v2026,current,
co_cdot_202-01010,CO,co_cdot,CDOT,202-01010,co_cdot_202-01010_v2026,current,
co_cdot_202-01015,CO,co_cdot,CDOT,202-01015,co_cdot_202-01015_v2026,current,
co_cdot_202-01020,CO,co_cdot,CDOT,202-01020,co_cdot_202-01020_v2026,current,
co_cdot_202-01030,CO,co_cdot,CDOT,202-01030,co_cdot_202-01030_v2026,current,
co_cdot_202-01035,CO,co_cdot,CDOT,202-01035,co_cdot_202-01035_v2026,current,
co_cdot_202-01130,CO,co_cdot,CDOT,202-01130,co_cdot_202-01130_v2026,current,
co_cdot_202-01135,CO,co_cdot,CDOT,202-01135,co_cdot_202-01135_v2026,current,
co_cdot_202-01140,CO,co_cdot,CDOT,202-01140,co_cdot_202-01140_v2026,current,
co_cdot_202-01170,CO,co_cdot,CDOT,202-01170,co_cdot_202-01170_v2026,current,
co_cdot_202-01175,CO,co_cdot,CDOT,202-01175,co_cdot_202-01175_v2026,current,
co_cdot_202-01180,CO,co_cdot,CDOT,202-01180,co_cdot_202-01180_v2026,current,
co_cdot_202-01190,CO,co_cdot,CDOT,202-01190,co_cdot_202-01190_v2026,current,
co_cdot_202-01200,CO,co_cdot,CDOT,202-01200,co_cdot_202-01200_v2026,current,
co_cdot_202-01300,CO,co_cdot,CDOT,202-01300,co_cdot_202-01300_v2026,current,
co_cdot_202-01400,CO,co_cdot,CDOT,202-01400,co_cdot_202-01400_v2026,current,
co_cdot_202-04000,CO,co_cdot,CDOT,202-04000,co_cdot_202-04000_v2026,current,
co_cdot_202-04001,CO,co_cdot,CDOT,202-04001,co_cdot_202-04001_v2026,current,
co_cdot_202-04002,CO,co_cdot,CDOT,202-04002,co_cdot_202-04002_v2026,current,
co_cdot_202-04003,CO,co_cdot,CDOT,202-04003,co_cdot_202-04003_v2026,current,
co_cdot_202-04004,CO,co_cdot,CDOT,202-04004,co_cdot_202-04004_v2026,current,
co_cdot_202-04005,CO,co_cdot,CDOT,202-04005,co_cdot_202-04005_v2026,current,
co_cdot_202-04006,CO,co_cdot,CDOT,202-04006,co_cdot_202-04006_v2026,current,
co_cdot_202-04007,CO,co_cdot,CDOT,202-04007,co_cdot_202-04007_v2026,current,
co_cdot_202-04008,CO,co_cdot,CDOT,202-04008,co_cdot_202-04008_v2026,current,
co_cdot_202-04010,CO,co_cdot,CDOT,202-04010,co_cdot_202-04010_v2026,current,
co_cdot_202-04040,CO,co_cdot,CDOT,202-04040,co_cdot_202-04040_v2026,current,
co_cdot_202-04041,CO,co_cdot,CDOT,202-04041,co_cdot_202-04041_v2026,current,
co_cdot_202-04050,CO,co_cdot,CDOT,202-04050,co_cdot_202-04050_v2026,current,
co_cdot_202-04060,CO,co_cdot,CDOT,202-04060,co_cdot_202-04060_v2026,current,
co_cdot_202-04100,CO,co_cdot,CDOT,202-04100,co_cdot_202-04100_v2026,current,
co_cdot_202-04200,CO,co_cdot,CDOT,202-04200,co_cdot_202-04200_v2026,current,
co_cdot_202-05000,CO,co_cdot,CDOT,202-05000,co_cdot_202-05000_v2026,current,
co_cdot_202-05002,CO,co_cdot,CDOT,202-05002,co_cdot_202-05002_v2026,current,
co_cdot_202-05004,CO,co_cdot,CDOT,202-05004,co_cdot_202-05004_v2026,current,
