contract_item_id,contract_id,source_id,section_number,section_title,line_number,source_item_code,agency_item_id,description_raw,quantity,unit_raw,unit_normalized,alternate_set,alternate_member,mapping_status,source_page,source_locator
fhu_watson_20211216_row_0059,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,59,210-00810,co_cdot_210-00810,RESET GROUND SIGN,4.00,EACH,EACH,,,matched,,SAQ:59
fhu_watson_20211216_row_0060,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,60,210-00815,co_cdot_210-00815,RESET SIGN PANEL,4.00,EACH,EACH,,,matched,,SAQ:60
fhu_watson_20211216_row_0061,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,61,210-00827,co_cdot_210-00827,RESET PULL BOX,1.00,EACH,EACH,,,matched,,SAQ:61
fhu_watson_20211216_row_0062,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,62,210-04050,co_cdot_210-04050,ADJUST VALVE BOX,2.00,EACH,EACH,,,matched,,SAQ:62
fhu_watson_20211216_row_0063,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,63,210-04010,co_cdot_210-04010,ADJUST MANHOLE,3.00,EACH,EACH,,,matched,,SAQ:63
fhu_watson_20211216_row_0064,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,64,212-00011,co_cdot_212-00011,SHORT DRY GRASS SEED (IRRIGATED) (SPECIAL),0.07,ACRE,ACRE,,,matched,,SAQ:64
fhu_watson_20211216_row_0065,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,65,212-00032,co_cdot_212-00032,SOIL CONDITIONING,0.36,ACRE,ACRE,,,matched,,SAQ:65
fhu_watson_20211216_row_0066,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,66,212-00700,co_cdot_212-00700,ORGANIC FERTILIZER LOW N,356.00,POUNDS,LB,,,matched,,SAQ:66
fhu_watson_20211216_row_0067,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,67,212-00701,co_cdot_212-00701,COMPOST (MECHANICALLY APPLIED),77.00,CY,CY,,,matched,,SAQ:67
fhu_watson_20211216_row_0068,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,68,212-00703,co_cdot_212-00703,HUMATE,240.00,POUNDS,LB,,,matched,,SAQ:68
