contract_id,letting_id,source_id,state,agency_id,official_contract_id,call_order,letting_status,awarded_vendor,awarded_amount,primary_county,route,work_type,contract_period,dbe_goal,bid_count,location,district,terrain,award_index
cdot_2025q4_br0704_265,co_cdot_cost_data_book_2025_q4_20250724,cdot_cost_data_book_2025_q4,CO,co_cdot,BR0704-265,,AWARDED,"STRUCTURES, INC.",7235022.57,Colorado / CDOT District 1,,Roadway,,,4,BR0704-265 I-70 EAST,1,R,99.21
cdot_2025q4_br0761_249,co_cdot_cost_data_book_2025_q4_20250227,cdot_cost_data_book_2025_q4,CO,co_cdot,BR0761-249,,AWARDED,RDZ Build,3259684.20,Colorado / CDOT District 4,,Roadway,,,6,BR0761-249 I-76,4,U,101.57
cdot_2025q4_brr100_400,co_cdot_cost_data_book_2025_q4_20250206,cdot_cost_data_book_2025_q4,CO,co_cdot,BRR100-400,,AWARDED,Native Sun Materials Inc,2684443.68,Colorado / CDOT District 1,,Roadway,,,4,"BRR100-400 VAR LOCATIONS R1 I25, I225 & I",1,U,76.70
cdot_2025q4_c0063_067,co_cdot_cost_data_book_2025_q4_20251030,cdot_cost_data_book_2025_q4,CO,co_cdot,C0063-067,,AWARDED,"KSK, LLC",7160000.00,Colorado / CDOT District 3,,Roadway,,,6,C0063-067 US 6 PALISADE IMPROVEMENTS MP,3,U,84.32
cdot_2025q4_c0142_070,co_cdot_cost_data_book_2025_q4_20250814,cdot_cost_data_book_2025_q4,CO,co_cdot,C0142-070,,AWARDED,"SUBSURFACE, INC",196525.00,Colorado / CDOT District 4,,Roadway,,,3,C0142-070 SH 14 MP 75.5-85,4,M,71.58
cdot_2025q4_c0405_042,co_cdot_cost_data_book_2025_q4_20250605,cdot_cost_data_book_2025_q4,CO,co_cdot,C0405-042,,AWARDED,"Myers & Sons Construction, LLC",672753.24,Colorado / CDOT District 1,,Roadway,,,5,"C0405-042 US 40 IN DEER TRAIL, PINE ST T",1,R,140.16
cdot_2025q4_c0821_113,co_cdot_cost_data_book_2025_q4_20250417,cdot_cost_data_book_2025_q4,CO,co_cdot,C0821-113,,AWARDED,"MORTON ELECTRIC, INC.",635240.00,Colorado / CDOT District 3,,Roadway,,,1,C0821-113 CO-82 & Catherine Store Signal,3,M,103.20
cdot_2025q4_c1601_088,co_cdot_cost_data_book_2025_q4_20251113,cdot_cost_data_book_2025_q4,CO,co_cdot,C1601-088,,AWARDED,"MORTON ELECTRIC, INC.",1379406.89,Colorado / CDOT District 5,,Roadway,,,2,C1601-088 US 160 SIGNALS MILDRED & HARRI,5,U,95.90
cdot_2025q4_cr400_400,co_cdot_cost_data_book_2025_q4_20250814,cdot_cost_data_book_2025_q4,CO,co_cdot,CR400-400,,AWARDED,"GOODLAND CONSTRUCTION, INC.",2394994.00,Colorado / CDOT District 4,,Roadway,,,4,CR400-400 VARIOUS LOCATIONS THROUGHOUT R,4,R,104.14
cdot_2025q4_cr400_406,co_cdot_cost_data_book_2025_q4_20250717,cdot_cost_data_book_2025_q4,CO,co_cdot,CR400-406,,AWARDED,"SUBSURFACE, INC",1864082.67,Colorado / CDOT District 4,,Roadway,,,3,CR400-406 REGION-WIDE,4,P,107.38
