agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_611-00043,CO,CDOT,611-00043,42 Foot Deer Guard,42 Ft Deer Guard,EACH,
co_cdot_611-00044,CO,CDOT,611-00044,44 Foot Deer Guard,44 Ft Deer Guard,EACH,
co_cdot_611-00051,CO,CDOT,611-00051,50 Foot Deer Guard,50 Ft Deer Guard,EACH,
co_cdot_611-00059,CO,CDOT,611-00059,58 Foot Deer Guard,58 Ft Deer Gd,EACH,
co_cdot_611-00200,CO,CDOT,611-00200,Ft Electrified Wildlife Barrier,Ft Electrified Wildlife Barrier,EACH,
co_cdot_611-01000,CO,CDOT,611-01000,Railroad Grade Crossing,Railroad Grade Crossing,LF,
co_cdot_612-00001,CO,CDOT,612-00001,Delineator (Type I),Delin (Ty I),EACH,
co_cdot_612-00002,CO,CDOT,612-00002,Delineator (Type II),Delin (Ty II),EACH,
co_cdot_612-00003,CO,CDOT,612-00003,Delineator (Type III),Delin (Ty III),EACH,
co_cdot_612-00010,CO,CDOT,612-00010,Delineator (Special),Delin (Spec),EACH,
co_cdot_612-00011,CO,CDOT,612-00011,Delineator (Special) (Furnish Only),Delin (Spec) (Furn),EACH,
co_cdot_612-00021,CO,CDOT,612-00021,Delineator (Type I) (Barrier),Delin (Ty I) (Barrier),EACH,
co_cdot_612-00022,CO,CDOT,612-00022,Delineator (Type II) (Barrier),Delin (Ty II) (Barrier),EACH,
co_cdot_612-00023,CO,CDOT,612-00023,Delineator (Type III) (Barrier),Delin (Ty III) (Barrier),EACH,
co_cdot_612-00031,CO,CDOT,612-00031,Delineator (Type I) (Extra Height),Delin (Ty I) (Extra Ht),EACH,
co_cdot_612-00032,CO,CDOT,612-00032,Delineator (Type II) (Extra Height),Delin (Ty II) (Extra Ht),EACH,
co_cdot_612-00033,CO,CDOT,612-00033,Delineator (Type III) (Extra Height),Delin (Ty III) (Extra Ht),EACH,
co_cdot_612-00036,CO,CDOT,612-00036,Delineator (Flexible) (Square Base),Delin (Flex) (Sq Base),EACH,
co_cdot_612-00037,CO,CDOT,612-00037,Delineator (Flexible) (Flat Mounted),Delin (Flex) (Flat Mount),EACH,
co_cdot_612-00038,CO,CDOT,612-00038,Delineator (Flexible) (Clamp Mounted),Delin (Flex) (Clmp Mount),EACH,
co_cdot_612-00039,CO,CDOT,612-00039,Delineator (Flexible) (Surface Mounted),Delin (Flex) (Surf Mount),EACH,
co_cdot_612-00040,CO,CDOT,612-00040,Delineator (Flexible) (Extra Height),Delin (Flex) (Extra Ht),EACH,
co_cdot_612-00041,CO,CDOT,612-00041,Delineator (Flexible) (Type I),Delin (Flex) (Ty I),EACH,
co_cdot_612-00042,CO,CDOT,612-00042,Delineator (Flexible) (Type II),Delin (Flex) (Ty II),EACH,
co_cdot_612-00043,CO,CDOT,612-00043,Delineator (Flexible) (Type III),Delin (Flex) (Ty III),EACH,
co_cdot_612-00046,CO,CDOT,612-00046,Delineator (Flexible) (Special) (Type I),Delin (Flex) (Spec) (Ty I),EACH,
co_cdot_612-00048,CO,CDOT,612-00048,Delineator (Flexible) (Special (Type III),Delin (Flex) (Spec) (Ty III),EACH,
co_cdot_612-00050,CO,CDOT,612-00050,Reflector (Type-3),Reflector (Type-3),EACH,
co_cdot_612-00052,CO,CDOT,612-00052,Reflector,Reflector,EACH,
co_cdot_612-00060,CO,CDOT,612-00060,Reflector (Median Barrier),Reflector (Median Barrier),EACH,
co_cdot_612-00065,CO,CDOT,612-00065,Reflector Strip (1-1/2 Inch),Reflector Strip (1-1/2 In),EACH,
co_cdot_612-00070,CO,CDOT,612-00070,Reflector Strip (4 Inch),Reflector Strip (4 In),EACH,
co_cdot_612-00075,CO,CDOT,612-00075,Reflector Strip (6 Inch),Reflector Strip (6 In),EACH,
co_cdot_612-00081,CO,CDOT,612-00081,Delineator (Post Mounted)(Type I),Delin (PM) (Ty I),EACH,
co_cdot_612-00082,CO,CDOT,612-00082,Delineator (Post Mounted)(Type II),Delin (PM)(Ty II),EACH,
co_cdot_612-00083,CO,CDOT,612-00083,Delineator (Post Mounted)(Type III),Delin (PM)(Ty III),EACH,
co_cdot_612-00101,CO,CDOT,612-00101,Delineator (Drivable Concrete Installation) (Type I),Delin (Drv Conc Inst) (Ty I),EACH,
co_cdot_612-00102,CO,CDOT,612-00102,Delineator (Drivable Concrete Installation) (Type II),Delin (Drv Conc Inst) (Ty II),EACH,
co_cdot_612-00103,CO,CDOT,612-00103,Delineator (Drivable Concrete Installation) (Type III),Delin (Drv Conc Inst) (Ty III),EACH,
co_cdot_612-00111,CO,CDOT,612-00111,Delineator (Drivable)(Type I),Delin (Drv)(Ty I),EACH,
co_cdot_612-00112,CO,CDOT,612-00112,Delineator (Drivable)(Type II),Delin (Drv)(Ty II),EACH,
co_cdot_612-00113,CO,CDOT,612-00113,Delineator (Drivable)(Type III),Delin (Drv)(Ty III),EACH,
co_cdot_612-00114,CO,CDOT,612-00114,Delineator (Drivable)(Type I)(Furnish Only),Delin (Drv)(Ty I)(Furn Only),EACH,
co_cdot_612-00115,CO,CDOT,612-00115,Delineator (Drivable)(Type II)(Furnish Only),Delin (Drv)(Ty II)(Furn Only),EACH,
co_cdot_612-00116,CO,CDOT,612-00116,Delineator (Drivable)(Type III)(Furnish Only),Delin (Drv)(Ty III)(Furn Only),EACH,
co_cdot_612-00118,CO,CDOT,612-00118,Median Crossover Delineator (Drivable),Med Crossover Delin (Drv),EACH,
co_cdot_612-00250,CO,CDOT,612-00250,Concrete Station Marker,Conc Sta Marker,EACH,
co_cdot_612-00260,CO,CDOT,612-00260,Location Marker (Fiber Optic)(Dome),Loc Mark (Fib Opt)(Dome),EACH,
co_cdot_612-00270,CO,CDOT,612-00270,Location Marker (Utility)(Flat Slat),Loc Mark (Util)(Flat Slat),EACH,
co_cdot_612-00300,CO,CDOT,612-00300,Steel Guard Post,Steel Guard Post,EACH,
co_cdot_612-00500,CO,CDOT,612-00500,Adjustable Control Point Box,Adj Ctrl Point Box,EACH,
co_cdot_612-01080,CO,CDOT,612-01080,Barrier Striping (6 Inch),Barrier Striping (6 In),LF,
co_cdot_612-15000,CO,CDOT,612-15000,Install Marker,Inst Marker,EACH,
co_cdot_613-00050,CO,CDOT,613-00050,1/2 Inch Electrical Conduit,1/2 In Elec Cond,LF,
co_cdot_613-00075,CO,CDOT,613-00075,3/4 Inch Electrical Conduit,3/4 In Elec Cond,LF,
co_cdot_613-00100,CO,CDOT,613-00100,1 Inch Electrical Conduit,1 In Elec Cond,LF,
co_cdot_613-00102,CO,CDOT,613-00102,1 Inch Electrical Conduit (Galvanized Rigid Conduit) (Special),1 In Elec Cond (GRC) (Special),LF,
co_cdot_613-00125,CO,CDOT,613-00125,1-1/4 Inch Electrical Conduit,1-1/4 In Elec Cond,LF,
co_cdot_613-00127,CO,CDOT,613-00127,1-1/4 Inch Electrical Conduit (Plastic)(Special),1-1/4 In Elec Cond (P)(Spec),LF,
co_cdot_613-00128,CO,CDOT,613-00128,1 1/4 Inch Electrical Conduit (Multiduct)(Jacked),1 1/4 Inch Elec Cond (Multi)(Jacked),LF,
co_cdot_613-00150,CO,CDOT,613-00150,1-1/2 Inch Electrical Conduit,1-1/2 In Elec Cond,LF,
co_cdot_613-00155,CO,CDOT,613-00155,38 mm Electrical Conduit (Innerduct),38 mm Elec Cond (Innerduct),LF,
co_cdot_613-00200,CO,CDOT,613-00200,2 Inch Electrical Conduit,2 In Elec Cond,LF,
co_cdot_613-00201,CO,CDOT,613-00201,2 Inch Electrical Conduit (Jacked),2 In Elec Cond (Jacked),LF,
co_cdot_613-00202,CO,CDOT,613-00202,2 Inch Electrical Conduit (Jacked) (Install Only),Inst 2 In Elec Cond (Jacked),LF,
co_cdot_613-00206,CO,CDOT,613-00206,2 Inch Electrical Conduit (Bored),2 In Elec Cond (Bored),LF,
co_cdot_613-00207,CO,CDOT,613-00207,2 Inch Electrical Conduit (Bridge) (Special),2 In Elec Cond (Bridge) (Spec),LF,
co_cdot_613-00208,CO,CDOT,613-00208,2 Inch Electrical Conduit (Bored) (Install Only),Inst 2 In Elec Cond (Bored),LF,
co_cdot_613-00210,CO,CDOT,613-00210,2 Inch Electrical Conduit (Special),2 In Elec Conduit (Spec),LF,
co_cdot_613-00250,CO,CDOT,613-00250,2-1/2 Inch Electrical Conduit,2-1/2 In Elec Cond,LF,
co_cdot_613-00300,CO,CDOT,613-00300,3 Inch Electrical Conduit,3 In Elec Cond,LF,
co_cdot_613-00303,CO,CDOT,613-00303,3 Inch Electric Conduit Body (BUB),3 In Elec Cond Body (BUB),EACH,
co_cdot_613-00306,CO,CDOT,613-00306,3 Inch Electrical Conduit (Bored),3 In Elec Cond (Bored),LF,
co_cdot_613-00400,CO,CDOT,613-00400,4 Inch Electrical Conduit,4 In Elec Cond,LF,
co_cdot_613-00404,CO,CDOT,613-00404,4 Inch Electrical Conduit (Multiduct),4 In Elec Cond (Multiduct),LF,
co_cdot_613-00407,CO,CDOT,613-00407,4 Inch Electrical Conduit (Bridge)(Special),4 In Elec Cond (Brdg)(Spec),LF,
co_cdot_613-00408,CO,CDOT,613-00408,4 Inch Electrical Conduit (Bored),4 In Elec Cond (Bored),LF,
co_cdot_613-00600,CO,CDOT,613-00600,6 Inch Electrical Conduit,6 In Elec Cond,LF,
co_cdot_613-00601,CO,CDOT,613-00601,6 Inch Electrical Conduit (Jacked),6 In Elec Cond (Jacked),LF,
co_cdot_613-00607,CO,CDOT,613-00607,6 Inch Electrical Conduit (Bridge)(Special),6 In Elec Cond (Brdg)(Spec),LF,
co_cdot_613-00608,CO,CDOT,613-00608,6 Inch Electrical Conduit (Bridge)(Install Only),Inst 6 In Elect Cond (Bridge),LF,
co_cdot_613-00800,CO,CDOT,613-00800,8 Inch Electrical Conduit,8 In Elec Cond,LF,
co_cdot_613-01050,CO,CDOT,613-01050,1/2 Inch Electrical Conduit (Plastic),1/2 In Elec Cond (P),LF,
co_cdot_613-01075,CO,CDOT,613-01075,3/4 Inch Electrical Conduit (Plastic),3/4 In Elec Cond (P),LF,
co_cdot_613-01100,CO,CDOT,613-01100,1 Inch Electrical Conduit (Plastic),1 In Elec Cond (P),LF,
co_cdot_613-01125,CO,CDOT,613-01125,1-1/4 Inch Electrical Conduit (Plastic),1-1/4 In Elec Cond (P),LF,
co_cdot_613-01150,CO,CDOT,613-01150,1-1/2 Inch Electrical Conduit (Plastic),1-1/2 In Elec Cond (P),LF,
co_cdot_613-01200,CO,CDOT,613-01200,2 Inch Electrical Conduit (Plastic),2 In Elec Cond (P),LF,
co_cdot_613-01201,CO,CDOT,613-01201,2 Inch Electrical Conduit (Plastic) (Special),2 In Elec Cond (P) (Spec),LF,
co_cdot_613-01202,CO,CDOT,613-01202,2 Inch Electrical Conduit (Plastic) (Install Only),Inst 2 In Elec Cond (P),LF,
co_cdot_613-01250,CO,CDOT,613-01250,2-1/2 Inch Electrical Conduit (Plastic),2-1/2 In Elec Cond (P),LF,
co_cdot_613-01300,CO,CDOT,613-01300,3 Inch Electrical Conduit (Plastic),3 In Elec Cond (P),LF,
co_cdot_613-01302,CO,CDOT,613-01302,3 Inch Electrical Conduit (Plastic) (Install Only),Inst 3 In Elec Cond (P),LF,
co_cdot_613-01400,CO,CDOT,613-01400,4 Inch Electrical Conduit (Plastic),4 In Elec Cond (P),LF,
co_cdot_613-01402,CO,CDOT,613-01402,4 Inch Electrical Conduit (Plastic)(Install Only),Inst 4 In Elec Cond (P),LF,
co_cdot_613-01600,CO,CDOT,613-01600,6 Inch Electrical Conduit (Plastic),6 In Elec Cond (P),LF,
co_cdot_613-01602,CO,CDOT,613-01602,6 Inch Electrical Conduit (Plastic)(Install Only),Inst 6 In Elec Cond (P),LF,
co_cdot_613-02200,CO,CDOT,613-02200,2 Inch Electrical Conduit (Furnish Only),Furn 2 In Elec Cond,LF,
co_cdot_613-03100,CO,CDOT,613-03100,1 Inch Electrical Conduit (Plastic) (Furnish Only),Furn 1 In Elec Cond (P),LF,
co_cdot_613-03200,CO,CDOT,613-03200,2 Inch Electrical Conduit (Plastic) (Furnish Only),Furn 2 In Elec Cond (P),LF,
co_cdot_613-03491,CO,CDOT,613-03491,Electrical Conduit (Plastic)(Multiduct),Elec Cond (P) (Mult),LF,
co_cdot_613-03492,CO,CDOT,613-03492,Electrical Conduit (Plastic)(Multiduct)(Bored),Elec Cond (P)(Mult)(Bored),LF,
co_cdot_613-03498,CO,CDOT,613-03498,Electrical Conduit (Plastic)(Multiduct)(Special)(2),Elec Cond (P)(Multi)(Sp)(2),LF,
co_cdot_613-03499,CO,CDOT,613-03499,Electrical Conduit (Plastic)(Multiduct)(Special)(Shared),Elec Cond (P)(Mult)(Spec)(Shrd),LF,
co_cdot_613-03500,CO,CDOT,613-03500,Electrical Conduit (Plastic) (Multiduct) (Special),Elec Cond (P) (Mult) (Spec),LF,
co_cdot_613-03502,CO,CDOT,613-03502,HID Fixtures (Type M2 Tunnel Luminaire),HID Fixtures (Ty M2 Tunnel Luminaire),EACH,
co_cdot_613-03511,CO,CDOT,613-03511,HID Fixtures (Type M1 Tunnel Luminaire) (Furnish Only),Furn HID Fixture(Ty M1 Tunnel Luminaire),EACH,
co_cdot_613-04000,CO,CDOT,613-04000,Conduit (Install Only),Inst Conduit,LF,
co_cdot_613-04010,CO,CDOT,613-04010,Conduit,Conduit,L S,
co_cdot_613-04020,CO,CDOT,613-04020,Hanger System,Hanger System,L S,
co_cdot_613-04100,CO,CDOT,613-04100,Electrical System Modifications,Elect System Mods,L S,
co_cdot_613-04120,CO,CDOT,613-04120,1 Inch Electrical Conduit (Liquidtight Flexible Metal),1 In Elec Cond (Liquidtight Flx Met),LF,
co_cdot_613-04125,CO,CDOT,613-04125,1-1/4 Inch Electrical Conduit (Liquidtight Flexible Metal),1-1/4 In Elec Cond (Liquidtight Flx Met),LF,
co_cdot_613-04130,CO,CDOT,613-04130,1-1/2 Inch Electrical Conduit (Liquidtight Flexible Metal),1-1/2 In Elec Cond (Liquidtight Flx Met),LF,
co_cdot_613-04200,CO,CDOT,613-04200,2 Inch Electrical Conduit (Liquidtight Flexible Metal),2 In Elec Cond (Liquidtight Flx Met),LF,
co_cdot_613-04300,CO,CDOT,613-04300,3 Inch Electric Conduit (Liquid tight Flex Metal),3 In Elec Cond (Liquidtight Flx Met),LF,
co_cdot_613-05000,CO,CDOT,613-05000,Direct-Burial Cable,Dir Burial Cable,LF,
co_cdot_613-05100,CO,CDOT,613-05100,Direct-Burial Cable (Fiber Optics) (Special),Dir Burial Cable (Fiber) (Spec),LF,
co_cdot_613-05200,CO,CDOT,613-05200,Heat Trace Cable,Heat Trace Cable,LF,
co_cdot_613-05606,CO,CDOT,613-05606,6 Inch Wide Cable Tray,6 In Wide Cable Tray,LF,
co_cdot_613-05630,CO,CDOT,613-05630,30 Inch Wide Cable Tray,30 In Wide Cable Tray,LF,
co_cdot_613-06000,CO,CDOT,613-06000,Meter Pole,Meter Pole,EACH,
co_cdot_613-07000,CO,CDOT,613-07000,Pull Box (Special),Pull Box (Spec),EACH,
co_cdot_613-07001,CO,CDOT,613-07001,Type One Pull Box,Type One Pull Box,EACH,
co_cdot_613-07002,CO,CDOT,613-07002,Type Two Pull Box,Type Two Pull Box,EACH,
co_cdot_613-07003,CO,CDOT,613-07003,Type Three Pull Box,Type Three Pull Box,EACH,
co_cdot_613-07004,CO,CDOT,613-07004,Type Four Pull Box,Type Four Pull Box,EACH,
co_cdot_613-07005,CO,CDOT,613-07005,Type Five Pull Box,Type Five Pull Box,EACH,
co_cdot_613-07010,CO,CDOT,613-07010,Pull Box (Surface Mounted),Pull Box (Surf Mtd),EACH,
co_cdot_613-07011,CO,CDOT,613-07011,"Pull Box (11""x18""x12"")","Pull Box (11""x18""x12"")",EACH,
co_cdot_613-07016,CO,CDOT,613-07016,"Pull Box (16""x16""x6"")","Pull Box (16""x16""x6"")",EACH,
co_cdot_613-07017,CO,CDOT,613-07017,"Pull Box (16""x14""x6"")","Pull Box (16""x14""x6"")",EACH,
co_cdot_613-07018,CO,CDOT,613-07018,"Pull Box (18""x12""x8"")","Pull Box (18""x12""x8"")",EACH,
co_cdot_613-07023,CO,CDOT,613-07023,"Pull Box (24""x36""x24"")","Pull Box (24""x36""x24"")",EACH,
co_cdot_613-07024,CO,CDOT,613-07024,"Pull Box (24""x24""x8"")","Pull Box (24""x24""x8"")",EACH,
co_cdot_613-07025,CO,CDOT,613-07025,"Pull Box (24""x24""x14"")","Pull Box (24""x24""x14"")",EACH,
co_cdot_613-07026,CO,CDOT,613-07026,"Pull Box (16""x24""x12"")","Pull Box (16""x24""x12"")",EACH,
co_cdot_613-07027,CO,CDOT,613-07027,"Pull Box (28""x28""x12"")","Pull Box (28""x28""x12"")",EACH,
co_cdot_613-07029,CO,CDOT,613-07029,"Pull Box (24""x24""x12"")","Pull Box (24""x24""x12"")",EACH,
co_cdot_613-07030,CO,CDOT,613-07030,"Pull Box (24""x16""x24"")","Pull Box (24""x16""x24"")",EACH,
co_cdot_613-07032,CO,CDOT,613-07032,"Pull Box (24""x24""x24"")","Pull Box (24""x24""x24"")",EACH,
co_cdot_613-07034,CO,CDOT,613-07034,"Pull Box (24""x36""x18"")","Pull Box (24""x36""x18"")",EACH,
co_cdot_613-07035,CO,CDOT,613-07035,"Pull Box (32""x24""x12"")","Pull Box (32""x24""x12"")",EACH,
co_cdot_613-07037,CO,CDOT,613-07037,"Pull Box (37""x37""x12"")","Pull Box (37""x37""x12"")",EACH,
co_cdot_613-07038,CO,CDOT,613-07038,"Pull Box (36""x48""x18"")","Pull Box (36""x48""x18"")",EACH,
co_cdot_613-07039,CO,CDOT,613-07039,"Pull Box (30""x48""x18"")","Pull Box (30""x48""x18"")",EACH,
co_cdot_613-07040,CO,CDOT,613-07040,"Pull Box (30""x48""x24"")","Pull Box (30""x48""x24"")",EACH,
co_cdot_613-07044,CO,CDOT,613-07044,"Pull Box (42""x30""x6"")","Pull Box (42""x30""x6"")",EACH,
co_cdot_613-07050,CO,CDOT,613-07050,"Pull Box (13""x24""x18"") Deep","Pull Box (13""x24""x18"") Deep",EACH,
co_cdot_613-07060,CO,CDOT,613-07060,"Pull Box (18""x30""x18"") Deep","Pull Box (18""x30""x18"") Deep",EACH,
co_cdot_613-07070,CO,CDOT,613-07070,EMS Ball Marker,EMS Ball Marker,EACH,
co_cdot_613-07075,CO,CDOT,613-07075,3/4 Inch Electrical Conduit Body (Type LB),3/4 In Elec Cond Body (Ty LB),EACH,
co_cdot_613-07125,CO,CDOT,613-07125,1 1/4 Inch Electrical Conduit Body (Type LB),1 1/4 In Elec Cond Body (Ty LB),EACH,
co_cdot_613-07175,CO,CDOT,613-07175,1 1/2 Inch Electrical Conduit Body (Type LB),1 1/2 In Elec Cond Body (Ty LB),EACH,
co_cdot_613-07180,CO,CDOT,613-07180,"Pull Box (24""x36""x36"")","Pull Box (24""x36""x36"")",EACH,
co_cdot_613-07190,CO,CDOT,613-07190,"Pull Box (36""x16""x12"")","Pull Box (36""x16""x12"")",EACH,
co_cdot_613-07195,CO,CDOT,613-07195,Proof Conduit,Proof Conduit,LF,
co_cdot_613-07199,CO,CDOT,613-07199,Pull Box (Install Only),Inst Pull Box,EACH,
co_cdot_613-07200,CO,CDOT,613-07200,2 Inch Electrical Body (Type LB),2 In Elec Cond Body (Ty LB),EACH,
co_cdot_613-07210,CO,CDOT,613-07210,2 Inch Electrical Conduit Body (Type TEE),2 In Elec Cond Body (Ty TEE),EACH,
co_cdot_613-07225,CO,CDOT,613-07225,1 1/4 Inch Electrical Conduit Body (Type TEE),1 1/4 In Elec Cond Body (Type TEE),EACH,
co_cdot_613-07300,CO,CDOT,613-07300,3 Inch Electrical Conduit Body (Type LB),3 In Elec Cond Body (Ty LB),EACH,
co_cdot_613-08000,CO,CDOT,613-08000,Vault (Install Only),Inst Vault,EACH,
co_cdot_613-08100,CO,CDOT,613-08100,Electric Vault (6'x5'x6.5') Deep,Elec Vault (6'x5'x6.5') Deep,EACH,
co_cdot_613-08200,CO,CDOT,613-08200,2 Inch Fiberglass Cable (Install Only),2 In Fiber Cable (Install),LF,
co_cdot_613-10000,CO,CDOT,613-10000,Wiring,Wiring,L S,
co_cdot_613-10010,CO,CDOT,613-10010,Wiring (Special),Wiring (Spec),L S,
co_cdot_613-10015,CO,CDOT,613-10015,Breakaway Wiring System,Breakaway Wiring System,EACH,
co_cdot_613-12100,CO,CDOT,613-12100,Luminaire Fluorescent (Type F1 Tunnel),Luminaire Fl (Ty F1 Tunnel),EACH,
co_cdot_613-12101,CO,CDOT,613-12101,Luminaire Fluorescent (Type F1 Tunnel) (Furnish Only),Furn Luminaire Fl (Ty F1 Tunnel),EACH,
co_cdot_613-12200,CO,CDOT,613-12200,Luminaire Fluorescent (Type F2 Tunnel),Luminaire Fl (Ty F2 Tunnel),EACH,
co_cdot_613-12201,CO,CDOT,613-12201,Luminaire Fluorescent (Type F2 Tunnel) (Furnish Only),Furn Luminaire Fl (Ty F2 Tunnel),EACH,
co_cdot_613-12300,CO,CDOT,613-12300,Luminaire Fluorescent (Type F3 Tunnel),Luminaire Fl (Ty F3 Tunnel),EACH,
co_cdot_613-12301,CO,CDOT,613-12301,Luminaire Fluorescent (Type F3 Tunnel) (Furnish Only),Furn Luminaire Fl (Ty F3 Tunnel),EACH,
co_cdot_613-13000,CO,CDOT,613-13000,Luminaire (LED) (Special),Luminaire (LED) (Spec),EACH,
co_cdot_613-13002,CO,CDOT,613-13002,"Luminaire (LED) (2,000 Lumens)","Lumin (LED) (2,000 Lumens)",EACH,
co_cdot_613-13003,CO,CDOT,613-13003,Luminaire (Special)(LED)(50 Watt),Lumin (Spec)(LED)(50 W),EACH,
co_cdot_613-13004,CO,CDOT,613-13004,"Luminaire (LED) (4,000 Lumens)","Lumin (LED) (4,000 Lumens)",EACH,
co_cdot_613-13005,CO,CDOT,613-13005,Luminaire (Special)(LED)(Step)(Light),Lumin (Spec)(LED)(Step)(Light),EACH,
co_cdot_613-13006,CO,CDOT,613-13006,"Luminaire (LED) (6,000 Lumens)","Lumin (LED) (6,000 Lumens)",EACH,
co_cdot_613-13007,CO,CDOT,613-13007,"Luminaire (LED) (3,000 Lumens)","Lumin (LED) (3,000 Lumens)",EACH,
co_cdot_613-13008,CO,CDOT,613-13008,"Luminaire (LED) (8,000 Lumens)","Lumin (LED) (8,000 Lumens)",EACH,
co_cdot_613-13010,CO,CDOT,613-13010,"Luminaire(LED)(10,000 Lumens)","Lumin(LED)(10,000 Lumens)",EACH,
co_cdot_613-13011,CO,CDOT,613-13011,"Luminaire (LED) (11,000 Lumens)","Lumin (LED) (11,000 Lumens)",EACH,
co_cdot_613-13012,CO,CDOT,613-13012,"Luminaire (LED) (12,000 Lumens)","Lumin (LED) (12,000 Lumens)",EACH,
co_cdot_613-13014,CO,CDOT,613-13014,"Luminaire (LED) (14,000 Lumens)","Lumin (LED) (14,000 Lumens)",EACH,
co_cdot_613-13016,CO,CDOT,613-13016,"Luminaire (LED) (16,000 Lumens)","Lumin (LED) (16,000 Lumens)",EACH,
co_cdot_613-13018,CO,CDOT,613-13018,"Luminaire (LED) (18,000 Lumens)","Lumin (LED) (18,000 Lumens)",EACH,
co_cdot_613-13020,CO,CDOT,613-13020,"Luminaire (LED) (20,000 Lumens)","Lumin (LED) (20,000 Lumens)",EACH,
co_cdot_613-13025,CO,CDOT,613-13025,"Luminaire (LED) (25,000 Lumens)","Lumin (LED) (25,000 Lumens)",EACH,
co_cdot_613-13030,CO,CDOT,613-13030,"Luminaire (LED)(30,000 Lumens)","Lumin (LED)(30,000 Lumens)",EACH,
co_cdot_613-13034,CO,CDOT,613-13034,Luminaire (LED)(15000 Lumens),Lumin (LED)(15000 Lumens),EACH,
co_cdot_613-13040,CO,CDOT,613-13040,"Luminaire (LED)(40,000 lumens)","Lumin (LED)(40,000 lumens)",EACH,
co_cdot_613-13050,CO,CDOT,613-13050,"Luminaire (LED) (50,000 Lumens)","Lumin LED (50,000 Lumens)",EACH,
co_cdot_613-13060,CO,CDOT,613-13060,Luminaire (LED) (1300 Lumins),Lumin (LED) (1300 Lumin),EACH,
co_cdot_613-13065,CO,CDOT,613-13065,Luminaire (LED) (5400 Lumens),Lumin (LED) (5400 Lumen),EACH,
co_cdot_613-13100,CO,CDOT,613-13100,Luminare Mounting Support System,Luminare Mounting Support System,L S,
co_cdot_613-15000,CO,CDOT,613-15000,Floodlight,Floodlight,EACH,
co_cdot_613-15050,CO,CDOT,613-15050,Spot Light,Spot Light,EACH,
co_cdot_613-15100,CO,CDOT,613-15100,Recessed Light,Recessed Light,EACH,
co_cdot_613-15200,CO,CDOT,613-15200,Recessed Light (Special),Recessed Light (Spec),EACH,
co_cdot_613-16000,CO,CDOT,613-16000,Luminaire (Special),Luminaire (Spec),EACH,
co_cdot_613-16002,CO,CDOT,613-16002,Luminaire Control Node (Stand Alone),Lumin Cntrl Node (Stand Alone),EACH,
co_cdot_613-16010,CO,CDOT,613-16010,Light Standard and Luminaire (Decorative),Light Std + Lumin (Dec),EACH,
co_cdot_613-16015,CO,CDOT,613-16015,Light Standard and Luminaire (Decorative) (Furnish Only),Light Std + Lumin (Dec) (Furn),EACH,
co_cdot_613-20000,CO,CDOT,613-20000,Light Standard and Luminaire (Install Only),Inst Light Std + Lumin,EACH,
co_cdot_613-20100,CO,CDOT,613-20100,Light Standard (Install Only),Inst Light Std,EACH,
co_cdot_613-20200,CO,CDOT,613-20200,Luminaire (Install Only),Inst Lumin,EACH,
co_cdot_613-20210,CO,CDOT,613-20210,Luminaire (Special) (Install Only),Inst Lumin (Spec),EACH,
co_cdot_613-20300,CO,CDOT,613-20300,Luminaire (Furnish Only),Furn Lumin,EACH,
co_cdot_613-20400,CO,CDOT,613-20400,Lens Assemblies(Furnish Only),Lens Assemblies(Furn),EACH,
co_cdot_613-30005,CO,CDOT,613-30005,Light Standard and Luminaire (Pedestrian),Light Std + Lumin (Pedest),EACH,
co_cdot_613-30010,CO,CDOT,613-30010,Light Standard and Luminaire (Pedestrian) (Furnish Only),Light Std + Lumin (Pedest) (Furn),EACH,
co_cdot_613-30120,CO,CDOT,613-30120,Light Standard Aluminum (12 Foot),Light Std Alum (12 Ft),EACH,
co_cdot_613-30130,CO,CDOT,613-30130,Light Standard Aluminum (13 Foot),Light Std Alum (13 Ft),EACH,
co_cdot_613-30140,CO,CDOT,613-30140,Light Standard Aluminum (14 Foot),Light Std Alum (14 Ft),EACH,
co_cdot_613-30230,CO,CDOT,613-30230,Light Standard Aluminum (23 Foot),Light Std Alum (23 Ft),EACH,
co_cdot_613-30250,CO,CDOT,613-30250,Light Standard Aluminum (25 Foot),Light Std Alum (25 Ft),EACH,
co_cdot_613-30300,CO,CDOT,613-30300,Light Standard Aluminum (30 Foot),Light Std Alum (30 Ft),EACH,
co_cdot_613-30302,CO,CDOT,613-30302,Light Standard Aluminum (30 Foot) (2-Arm),Light Std Alum (30 Ft) (2),EACH,
co_cdot_613-30350,CO,CDOT,613-30350,Light Standard Aluminum (35 Foot),Light Std Alum (35 Ft),EACH,
co_cdot_613-30352,CO,CDOT,613-30352,Light Standard Aluminum (35 Foot) (2-Arm),Light Std Alum (35 Ft) (2),EACH,
co_cdot_613-30400,CO,CDOT,613-30400,Light Standard Aluminum (40 Foot),Light Std Alum (40 Ft),EACH,
co_cdot_613-30402,CO,CDOT,613-30402,Light Standard Aluminum (40 Foot) (2-Arm),Light Std Alum (40 Ft) (2),EACH,
co_cdot_613-30500,CO,CDOT,613-30500,Light Standard Fiberglass (18 Foot),Light Std Fiberglass (18 Ft),EACH,
