agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_202-00400,CO,CDOT,202-00400,Removal of Bridge,Rem Bridge,EACH,
co_cdot_202-00401,CO,CDOT,202-00401,Removal of Bridge (Special),Rem Bridge (Spec),EACH,
co_cdot_202-00405,CO,CDOT,202-00405,Removal of Piling,Rem of Pilling,EACH,
co_cdot_202-00410,CO,CDOT,202-00410,Removal of Mat From Bridge,Rem Mat From Br,SY,
co_cdot_202-00420,CO,CDOT,202-00420,Removal of Pedestrian Rail,Rem Ped Rail,LF,
co_cdot_202-00425,CO,CDOT,202-00425,Removal of Bridge Railing,Rem Bridge Railing,LF,
co_cdot_202-00426,CO,CDOT,202-00426,Removal of Bridge Railing (Special),Rem Bridge Railing (Spec),LF,
co_cdot_202-00450,CO,CDOT,202-00450,Removal of Portions of Present Structure (Class 1),Rem Port Present Str (1),SY,
co_cdot_202-00453,CO,CDOT,202-00453,Removal of Portions of Present Structure (Class 2),Rem Port Present Str (2),SY,
co_cdot_202-00457,CO,CDOT,202-00457,Removal of Portions of Present Structure (Class 2) (Hydrodemolition),Rem of Portions of Pres Str(2) Hydrodemo,SY,
co_cdot_202-00458,CO,CDOT,202-00458,Removal of Portions of Present Structure (Hydrodemolition)(Fast-Track),Rem Port Pres Str (Hydrodem)(Fast-,SY,
co_cdot_202-00460,CO,CDOT,202-00460,Removal of Portions of Present Structure (Class 3),Rem Port Present Str (3),SY,
co_cdot_202-00480,CO,CDOT,202-00480,Removal of Portions of Present Structure (Special),Rem Port Present Str (Special),SY,
co_cdot_202-00495,CO,CDOT,202-00495,Removal of Portions of Present Structure,Rem Port Present Str,L S,
co_cdot_202-00500,CO,CDOT,202-00500,Removal of Portions of Present Structure,Rem Port Present Str,EACH,
co_cdot_202-00502,CO,CDOT,202-00502,Removal of Portions of Present Structure,Rem Port Present Str,CY,
co_cdot_202-00503,CO,CDOT,202-00503,Removal of Portions of Present Structure,Rem Port Present Str,SY,
co_cdot_202-00504,CO,CDOT,202-00504,Removal of Expansion Device,Rem Exp Device,LF,
co_cdot_202-00505,CO,CDOT,202-00505,Removal of Portions of Present Structure,Rem Port of Present Structure,SF,
co_cdot_202-00506,CO,CDOT,202-00506,Removal of Waterproofing Membrane,Removal of Waterproofing Membrane,SY,
co_cdot_202-00510,CO,CDOT,202-00510,Removal of Roadway Contraction Joint,Rem Contraction Jt,LF,
co_cdot_202-00514,CO,CDOT,202-00514,Removal of Anti-icing System (Special),Removal of Anti-icing System (Special),L S,
co_cdot_202-00520,CO,CDOT,202-00520,Removal of Expansion Joint Material,Rem of Exp Joint Matl,LF,
co_cdot_202-00600,CO,CDOT,202-00600,Removal of Railroad Appurtenances,Rem Railroad Appurtenances,L S,
co_cdot_202-00610,CO,CDOT,202-00610,Removal of Railroad Track,Rem of RR Track,LF,
co_cdot_202-00621,CO,CDOT,202-00621,Removal of Railroad Turnout,Rem of RR Turnout,EACH,
co_cdot_202-00700,CO,CDOT,202-00700,Removal of Light Standard,Rem Light Standard,EACH,
co_cdot_202-00705,CO,CDOT,202-00705,Removal of Light Standard Foundation,Rem Light Standard Foundation,EACH,
co_cdot_202-00710,CO,CDOT,202-00710,Removal of Power Pole,Rem Power Pole,EACH,
co_cdot_202-00715,CO,CDOT,202-00715,Removal of Closed Circuit Television Pole,Rem CCTV Pole,EACH,
co_cdot_202-00720,CO,CDOT,202-00720,Removal of Closed Circuit Camera,Rem CCTV Camera,EACH,
co_cdot_202-00725,CO,CDOT,202-00725,Removal of Existing Lighting System,Rem Ex Lighting Sys,L S,
co_cdot_202-00750,CO,CDOT,202-00750,Removal of Luminaire,Rem Luminaire,EACH,
co_cdot_202-00800,CO,CDOT,202-00800,Removal of Overpass Mounted Sign Bracket,Rem Overpass Mtd Sign Brkt,EACH,
co_cdot_202-00805,CO,CDOT,202-00805,Removal of Overhead Sign Structure,Rem Overhead Sign Str,EACH,
co_cdot_202-00806,CO,CDOT,202-00806,Removal of Walkway,Rem Walkway,LF,
co_cdot_202-00810,CO,CDOT,202-00810,Removal of Ground Sign,Rem Ground Sign,EACH,
co_cdot_202-00815,CO,CDOT,202-00815,Removal of Sign (Special),Rem of Sign (Special),EACH,
co_cdot_202-00821,CO,CDOT,202-00821,Removal of Sign Panel,Rem Sign Panel,EACH,
co_cdot_202-00823,CO,CDOT,202-00823,Removal of Dynamic Message Sign,Rem Dynamic Message Sign,EACH,
co_cdot_202-00825,CO,CDOT,202-00825,Removal of Flashing Beacon,Rem Flashing Beacon,EACH,
co_cdot_202-00827,CO,CDOT,202-00827,Removal of Pull Box,Rem of Pull Box,EACH,
co_cdot_202-00828,CO,CDOT,202-00828,Removal of Traffic Signal Equipment,Rem Traf Sig Equipment,L S,
co_cdot_202-00830,CO,CDOT,202-00830,Removal of Traffic Signal Face,Rem Traf Sig Face,EACH,
co_cdot_202-00831,CO,CDOT,202-00831,Removal of Traffic Signal Head,Rem Traf Sig Head,EACH,
co_cdot_202-00832,CO,CDOT,202-00832,Removal of Sign Panel (Special),Rem of Sign Panel (Spec),EACH,
co_cdot_202-00840,CO,CDOT,202-00840,Removal of Traffic Signal Pole,Rem Traf Sig Pole,EACH,
co_cdot_202-00842,CO,CDOT,202-00842,Removal of Mast Arm,Rem Mast Arm,EACH,
co_cdot_202-00845,CO,CDOT,202-00845,Removal of Traffic Signal Controller,Rem Traf Sig Controller,EACH,
co_cdot_202-00848,CO,CDOT,202-00848,Removal of Traffic Signal Controller and Cabinet,Rem Traf Sig Control+Cab,EACH,
co_cdot_202-00855,CO,CDOT,202-00855,Removal of Traffic Signal Controller Cabinet,Rem Traf Sig Control Cab,EACH,
co_cdot_202-00858,CO,CDOT,202-00858,Removal of Pedestal Pole,Rem Pedestal Pole,EACH,
co_cdot_202-00860,CO,CDOT,202-00860,Removal of Pedestrian Push Button,Rem Ped Push Button,EACH,
co_cdot_202-00870,CO,CDOT,202-00870,Removal of Coordination Unit,Rem Coordination Unit,EACH,
co_cdot_202-00873,CO,CDOT,202-00873,Removal of Tone Decoder,Rem Tone Decoder,EACH,
co_cdot_202-00880,CO,CDOT,202-00880,Removal of Traffic Signal Vehicle Detector Amplifier,Rem Sig Veh Detector Amp,EACH,
co_cdot_202-00882,CO,CDOT,202-00882,Removal of Traffic Signal Vehicle Detector (Magnetic Type),Rem Detector (Magnetic),EACH,
co_cdot_202-00887,CO,CDOT,202-00887,Removal of Radar Detection System,Rem Radar Detect Sys,EACH,
co_cdot_202-00888,CO,CDOT,202-00888,Removal of Video Detection System,Rem Video Detect Sys,EACH,
co_cdot_202-00889,CO,CDOT,202-00889,Removal of Detectable Warning,Rem of Detect Warning,EACH,
co_cdot_202-00890,CO,CDOT,202-00890,Removal of Span Wire Cable,Rem Span Wire Cable,LF,
co_cdot_202-00895,CO,CDOT,202-00895,Removal of Impact Attenuator,Rem of Impact Attenuator,EACH,
co_cdot_202-00900,CO,CDOT,202-00900,Removal of Concrete Footing,Rem Conc Footing,EACH,
co_cdot_202-00950,CO,CDOT,202-00950,Removal of Concrete Foundation and Slab,Rem Conc Found/Slab,SY,
co_cdot_202-01000,CO,CDOT,202-01000,Removal of Fence,Rem Fence,LF,
co_cdot_202-01010,CO,CDOT,202-01010,Removal Of Silt Fence,Rem Silt Fence,LF,
co_cdot_202-01015,CO,CDOT,202-01015,Removal of Rockfall Fence,Rem Rockfall Fence,LF,
co_cdot_202-01020,CO,CDOT,202-01020,Removal of Noise Barrier Fence,Rem Noise Barrier Fence,LF,
co_cdot_202-01030,CO,CDOT,202-01030,Removal of Road Closure Gate,Rem of Road Closure Gate,EACH,
co_cdot_202-01035,CO,CDOT,202-01035,Removal of Gate,Rem of Gate,EACH,
co_cdot_202-01130,CO,CDOT,202-01130,Removal of Guardrail Type 3,Rem Gdrail Ty 3,LF,
co_cdot_202-01135,CO,CDOT,202-01135,Removal of Guardrail Thrie Beam,Rem Gdrail Thrie Beam,LF,
co_cdot_202-01140,CO,CDOT,202-01140,Removal of Guardrail Type 4,Rem Gdrail Ty 4,LF,
co_cdot_202-01170,CO,CDOT,202-01170,Removal of Guardrail Type 7,Rem Gdrail Ty 7,LF,
co_cdot_202-01175,CO,CDOT,202-01175,Removal of Guardrail (Special),Rem of Guardrail (Spec),LF,
co_cdot_202-01180,CO,CDOT,202-01180,Removal of Median Barrier,Rem Median Barrier,LF,
co_cdot_202-01190,CO,CDOT,202-01190,Removal of Guardrail Type 9,Rem Gdrail Ty 9,LF,
co_cdot_202-01200,CO,CDOT,202-01200,Removal of High-Tension Cable Barrier,Rem High-Tension Cable Barrier,LF,
co_cdot_202-01300,CO,CDOT,202-01300,Removal of End Anchorage,Rem End Anchorage,EACH,
co_cdot_202-01400,CO,CDOT,202-01400,Removal of Cattle Guard,Removal of Cattle Guard,EACH,
co_cdot_202-04000,CO,CDOT,202-04000,Plug Structure,Plug Structure,EACH,
co_cdot_202-04001,CO,CDOT,202-04001,Plug Culvert,Plug Culvert,EACH,
co_cdot_202-04002,CO,CDOT,202-04002,Clean Culvert,Clean Culvert,EACH,
co_cdot_202-04003,CO,CDOT,202-04003,Clean Culvert (Special),Clean Culvert (Spec),EACH,
co_cdot_202-04004,CO,CDOT,202-04004,Plug Culvert (Special),Plug Culvert (Spec),EACH,
co_cdot_202-04005,CO,CDOT,202-04005,Clean Valve Box,Clean Valve Box,EACH,
co_cdot_202-04006,CO,CDOT,202-04006,Clean Culvert,Clean Culvert,HOUR,
co_cdot_202-04007,CO,CDOT,202-04007,Plug Culvert,Plug Culvert,CY,
co_cdot_202-04008,CO,CDOT,202-04008,Clean Culvert,Clean Culvert,LF,
co_cdot_202-04010,CO,CDOT,202-04010,Clean Inlet,Clean Inlet,EACH,
co_cdot_202-04040,CO,CDOT,202-04040,Clean Box Girder,Clean Box Girder,EACH,
