contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
ia_idot_20240117_25_0803_255_project_1,ia_idot_20240117_25_0803_255,ITS-080-3(255)110--25-25,US 6/169 Interchange to Co Rd R22/Ute Ave Interchange,ITS INFRASTRUCTURE,DALLAS,I-80,US 6/169 Interchange to Co Rd R22/Ute Ave Interchange,1014585.69
ia_idot_20240117_25_0804_721_project_1,ia_idot_20240117_25_0804_721,MPIN-080-4(721)101--0N-25,0.5 mi E of Co Rds F60/P53 to E of Co Rd P58/L Ave,HMA PAVED SHOULDER - FOG SEAL,DALLAS,I-80,0.5 mi E of Co Rds F60/P53 to E of Co Rd P58/L Ave,79246.18
ia_idot_20240117_26_c026_114_project_1,ia_idot_20240117_26_c026_114,BROS-C026(114)--8J-26,"On Kress Ave, 0.6 miles North of 125th St",BRIDGE REPLACEMENT - PPCB,DAVIS,KRESS AVE.,"On Kress Ave, 0.6 miles North of 125th St",1240402.11
ia_idot_20240117_28_0206_505_project_1,ia_idot_20240117_28_0206_505,MB-020-6(505)277--77-28,Maquoketa River 1.7 mi E of IA 13 (WB),BRIDGE PAINTING,DELAWARE,U.S. 20,Maquoketa River 1.7 mi E of IA 13 (WB),224250
ia_idot_20240117_28_4682_628_project_1,ia_idot_20240117_28_4682_628,STBG-SWAP-4682(628)--SG-28,"In the city of Manchester, On E MAIN ST, from approximately 50' west of Bailey Drive to 60' west of Stiles Street",PCC PAVEMENT - REPLACE,DELAWARE,E MAIN STREET,"In the city of Manchester, On E MAIN ST, from approximately 50' west of Bailey Drive to 60' west of Stiles Street",1344449
ia_idot_20240117_29_0349_234_project_1,ia_idot_20240117_29_0349_234,BRFN-034-9(234)--39-29,8th St 1.8 mi E of US 61 in Burlington,BRIDGE DECK OVERLAY,DES MOINES,U.S. 34,8th St 1.8 mi E of US 61 in Burlington,615091.8
ia_idot_20240117_29_c029_096_project_1,ia_idot_20240117_29_c029_096,FM-C029(96)--55-29,"On Golf Course Road, from DMC Hwy 99 Westerly 0.3 Miles to Top of Hill, S17, T70, R02",PCC PAVEMENT - REPLACE,DES MOINES,S17,"On Golf Course Road, from DMC Hwy 99 Westerly 0.3 Miles to Top of Hill, S17, T70, R02",650507.77
ia_idot_20240117_31_0209_257_project_1,ia_idot_20240117_31_0209_257,BRFN-020-9(257)--39-31,Mississippi River in Dubuque,BRIDGE CLEANING,DUBUQUE,U.S. 20,Mississippi River in Dubuque,124300
ia_idot_20240117_34_0186_099_project_1,ia_idot_20240117_34_0186_099,NHSN-018-6(99)--2R-34,US 218/Ia. 27 Intersection At Floyd,EROSION CONTROL,FLOYD,U.S. 18,US 218/Ia. 27 Intersection At Floyd,156778.98
ia_idot_20240117_36_0291_120_project_1,ia_idot_20240117_36_0291_120,BRFN-002-1(120)--39-36,Fisher Creek 2.2 mi W of US 59,BRIDGE DECK OVERLAY,FREMONT,IOWA 2,Fisher Creek 2.2 mi W of US 59,1066666.3
ia_idot_20240117_36_0291_120_project_2,ia_idot_20240117_36_0291_120,IMN-029-1(120)9--0E-36,Abandoned RR and Local Rd 1.6 mi S of IA 2 (NB/SB),BRIDGE DECK OVERLAY,FREMONT,I-29,Abandoned RR and Local Rd 1.6 mi S of IA 2 (NB/SB),2206702.59
ia_idot_20240117_37_0255_013_project_1,ia_idot_20240117_37_0255_013,STPN-025-5(013)--2J-37,0.3 mi S of Co Rd E53,SUBDRAINS,GREENE,IOWA 25,0.3 mi S of Co Rd E53,57038.44
ia_idot_20240117_41_c041_136_project_1,ia_idot_20240117_41_c041_136,BROS-C041(136)--8J-41,"On Crane Avenue, Over Buffalo Creek, W1/4 S04 T97 R26",PIPE CULVERTS,HANCOCK,CRANE AVE,"On Crane Avenue, Over Buffalo Creek, W1/4 S04 T97 R26",269286.05
ia_idot_20240117_41_c041_136_project_2,ia_idot_20240117_41_c041_136,BROS-C041(137)--8J-41,"On Birch Avenue, Over Lindsey Creek, S30 T97 R26",PIPE CULVERTS,HANCOCK,BIRCH AVE,"On Birch Avenue, Over Lindsey Creek, S30 T97 R26",210677.75
ia_idot_20240117_41_c041_138_project_1,ia_idot_20240117_41_c041_138,BROS-C041(138)--8J-41,"On HILL AVE, Over DD #159, S20 T94 R25",PIPE CULVERTS,HANCOCK,HILL AVE,"On HILL AVE, Over DD #159, S20 T94 R25",219642.95
ia_idot_20240117_41_c041_139_project_1,ia_idot_20240117_41_c041_139,FM-C041(139)--55-41,"On B14, from US 69 to Cerro Gordo County Line",HMA RESURFACING/COLD IN-PLACE RECYCLING,HANCOCK,B14,"On B14, from US 69 to Cerro Gordo County Line",2015088.44
ia_idot_20240117_41_c041_139_project_2,ia_idot_20240117_41_c041_139,FM-C041(140)--55-41,"On R74, from B14 to Winnebago County line; On Sage Avenue, from B14 to 340th Street",HMA RESURFACING WITH MILLING,HANCOCK,R74,"On R74, from B14 to Winnebago County line; On Sage Avenue, from B14 to 340th Street",304668.03
ia_idot_20240117_42_5832_601_project_1,ia_idot_20240117_42_5832_601,BRS-5832(601)--60-42,"In the city of Owasa, On ELM ST, Over BEAVER CREEK, S17 T88 R20",BRIDGE AND APPROACHES - CCS,HARDIN,ELM STREET,"In the city of Owasa, On ELM ST, Over BEAVER CREEK, S17 T88 R20",684652.45
ia_idot_20240117_42_c042_113_project_1,ia_idot_20240117_42_c042_113,FM-C042(113)--55-42,"On C 73, from S25 E 6 miles to US HWY 65",HMA RESURFACING,HARDIN,C73,"On C 73, from S25 E 6 miles to US HWY 65",2021210.01
ia_idot_20240117_44_0784_030_project_1,ia_idot_20240117_44_0784_030,STP-078-4(030)--2C-44,WCL Wayland to Olds,HMA RESURFACING / HEATER SCARIFICATION,HENRY,IOWA 78,WCL Wayland to Olds,4801331.63
ia_idot_20240117_48_0806_731_project_1,ia_idot_20240117_48_0806_731,MPIN-080-6(731)205--0N-48,Poweshiek Co Line to Scott Co Line,PCC PATCHING,IOWA,I-80,Poweshiek Co Line to Scott Co Line,403292
ia_idot_20240117_48_c048_098_project_1,ia_idot_20240117_48_c048_098,FM-TSF-C048(98)--5B-48,"On V66, from 200th St N 5 miles to Marengo City Limits",HMA RESURFACING,IOWA,V66,"On V66, from 200th St N 5 miles to Marengo City Limits",2790389.8
