agency_item_version_id,agency_item_id,effective_from,effective_to,official_description,official_abbreviated_description,official_unit,spec_reference_code,source_id,is_current
ne_ndot_version_3089.80_current,ne_ndot_3089.80,,,FLOWABLE FILL CONCRETE,,CU YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3089.82_current,ne_ndot_3089.82,,,CULVERT FLOWABLE FILL,,LUMP SUM,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3090.10_current,ne_ndot_3090.10,,,"10"" CONCRETE PAVEMENT",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.00_current,ne_ndot_3091.00,,,"CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.15_current,ne_ndot_3091.15,,,"8"" DOWELED CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.16_current,ne_ndot_3091.16,,,"14"" CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.17_current,ne_ndot_3091.17,,,"11"" CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.18_current,ne_ndot_3091.18,,,"8"" CONCRETE PAVEMENT CLASS 47B-HE-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.19_current,ne_ndot_3091.19,,,"9"" CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.20_current,ne_ndot_3091.20,,,"10"" CONCRETE PAVEMENT CLASS 47B-HE-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.21_current,ne_ndot_3091.21,,,"12"" DOWELED CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.22_current,ne_ndot_3091.22,,,"12"" CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.23_current,ne_ndot_3091.23,,,"13"" CONCRETE PAVEMENT CLASS 47B-HE-3500",,SQ YD,603.00,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.25_current,ne_ndot_3091.25,,,"9"" DOWELED CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.27_current,ne_ndot_3091.27,,,"10"" DOWELED CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
ne_ndot_version_3091.31_current,ne_ndot_3091.31,,,"14"" CONCRETE PAVEMENT, CLASS 47B-HE-3500",,SQ YD,,ne_ndot_english_standard_item_list_2010,true
