bidder_item_observation_id,bid_tab_item_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_lincoln_jordan_20250218_row_0013_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0013,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00203,REMOVAL OF CURB AND GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,13669,6.20,84747.80
fhu_lincoln_jordan_20250218_row_0013_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0013,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00203,REMOVAL OF CURB AND GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,13669,6.00,82014.00
fhu_lincoln_jordan_20250218_row_0013_structures_inc,fhu_lincoln_jordan_20250218_row_0013,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00203,REMOVAL OF CURB AND GUTTER,Linear Foot/Feet,LINEAR FOOT/FEET,13669,9.59,131085.71
fhu_lincoln_jordan_20250218_row_0014_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0014,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00206,REMOVAL OF CONCRETE CURB RAMP,Square Yard,SY,283,30.00,8490.00
fhu_lincoln_jordan_20250218_row_0014_hei_civil,fhu_lincoln_jordan_20250218_row_0014,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00206,REMOVAL OF CONCRETE CURB RAMP,Square Yard,SY,283,17.00,4811.00
fhu_lincoln_jordan_20250218_row_0014_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0014,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00206,REMOVAL OF CONCRETE CURB RAMP,Square Yard,SY,283,26.00,7358.00
fhu_lincoln_jordan_20250218_row_0014_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0014,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00206,REMOVAL OF CONCRETE CURB RAMP,Square Yard,SY,283,40.00,11320.00
fhu_lincoln_jordan_20250218_row_0014_structures_inc,fhu_lincoln_jordan_20250218_row_0014,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00206,REMOVAL OF CONCRETE CURB RAMP,Square Yard,SY,283,13.19,3732.77
fhu_lincoln_jordan_20250218_row_0015_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0015,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00210,REMOVAL OF CONCRETE PAVEMENT,Square Yard,SY,1311,35.00,45885.00
fhu_lincoln_jordan_20250218_row_0015_hei_civil,fhu_lincoln_jordan_20250218_row_0015,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00210,REMOVAL OF CONCRETE PAVEMENT,Square Yard,SY,1311,38.00,49818.00
fhu_lincoln_jordan_20250218_row_0015_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0015,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00210,REMOVAL OF CONCRETE PAVEMENT,Square Yard,SY,1311,30.50,39985.50
fhu_lincoln_jordan_20250218_row_0015_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0015,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00210,REMOVAL OF CONCRETE PAVEMENT,Square Yard,SY,1311,20.00,26220.00
fhu_lincoln_jordan_20250218_row_0015_structures_inc,fhu_lincoln_jordan_20250218_row_0015,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00210,REMOVAL OF CONCRETE PAVEMENT,Square Yard,SY,1311,23.98,31437.78
fhu_lincoln_jordan_20250218_row_0016_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0016,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00212,REMOVAL OF CONCRETE (SPECIAL),Square Yard,SY,359,33.00,11847.00
fhu_lincoln_jordan_20250218_row_0016_hei_civil,fhu_lincoln_jordan_20250218_row_0016,fhu_lincoln_jordan_20250218_hei_civil,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00212,REMOVAL OF CONCRETE (SPECIAL),Square Yard,SY,359,26.00,9334.00
fhu_lincoln_jordan_20250218_row_0016_hamon_infrastructure,fhu_lincoln_jordan_20250218_row_0016,fhu_lincoln_jordan_20250218_hamon_infrastructure,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00212,REMOVAL OF CONCRETE (SPECIAL),Square Yard,SY,359,39.50,14180.50
fhu_lincoln_jordan_20250218_row_0016_sema_construction_inc,fhu_lincoln_jordan_20250218_row_0016,fhu_lincoln_jordan_20250218_sema_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00212,REMOVAL OF CONCRETE (SPECIAL),Square Yard,SY,359,26.00,9334.00
fhu_lincoln_jordan_20250218_row_0016_structures_inc,fhu_lincoln_jordan_20250218_row_0016,fhu_lincoln_jordan_20250218_structures_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00212,REMOVAL OF CONCRETE (SPECIAL),Square Yard,SY,359,17.99,6458.41
fhu_lincoln_jordan_20250218_row_0017_fnf_construction_inc,fhu_lincoln_jordan_20250218_row_0017,fhu_lincoln_jordan_20250218_fnf_construction_inc,fhu_bid_tab_lincoln_jordan_2025_02_18,fhu_bid_tab_lincoln_jordan_2025_02_18,202-00220,REMOVAL OF ASPHALT MAT,Square Yard,SY,7141,19.00,135679.00
