bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_west_colfax_phase_1_20241003_row_0060,607-11525,Fence (Plastic),LF,607-11525,Fence (Plastic),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0061,607-11530,Fence (Special),LF,607-11530,Fence (Special),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0062,607-21300,Fence Barrier With Metal Posts,LF,607-21300,Fence Barrier With Metal Posts,LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0063,608-00006,Concrete Sidewalk (6 Inch),SY,608-00006,Concrete Sidewalk (6 Inch),SY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0064,608-0015,Detectable Warnings,SF,608-00015,Detectable Warnings,SF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0065,609-20000,Curb Type 2 (Section B) (Special),LF,609-20000,Curb Type 2 (Section B) (Special),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0066,609-21010,Curb and Gutter Type 2 (Section I-B),LF,609-21010,Curb and Gutter Type 2 (Section I-B),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0067,610-00030,Median Cover Material (Concrete),SF,610-00030,Median Cover Material (Concrete),SF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0068,613-00200,2 Inch Electrical Conduit (Bored),LF,613-00206,2 Inch Electrical Conduit (Bored),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0069,613-00306,3 Inch Electrical Conduit (Bored),LF,613-00306,3 Inch Electrical Conduit (Bored),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0070,613-01200,2 Inch Electrical Conduit (Plastic),LF,613-01200,2 Inch Electrical Conduit (Plastic),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0071,613-01300,3 Inch Electrical Conduit (Plastic),LF,613-01300,3 Inch Electrical Conduit (Plastic),LF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0072,613-07003,Type Three Pull Box,EACH,613-07003,Type Three Pull Box,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0073,613-07011,"Pull Box (11""x18""x12"")",EACH,613-07011,"Pull Box (11""x18""x12"")",EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0074,613-07023,"Pull Box (24""x36""x24"")",EACH,613-07023,"Pull Box (24""x36""x24"")",EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0075,613-10000,Wiring,L S,613-10000,Wiring,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0076,613-13014,"Luminaire (LED) (14,000 Lumens)",EACH,613-13014,"Luminaire (LED) (14,000 Lumens)",EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0077,613-32302,Light Standard Steel (30 Foot) (2-Arm),EACH,613-32302,Light Standard Steel (30 Foot) (2-Arm),EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0078,613-40010,Light Standard Foundation,EACH,613-40010,Light Standard Foundation,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0079,613-50109,Meter Power Pedestal,EACH,613-50109,Meter Power Pedestal,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0080,614-00011,Sign Panel (Class I),SF,614-00011,Sign Panel (Class I),SF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0082,614-01736,Steel Sign Ground Stub Base (36 Inch),EACH,614-01736,Steel Sign Ground Stub Base (36 Inch),EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0083,620-00020,Sanitary Facility,EACH,620-00020,Sanitary Facility,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0084,623-09900,Sprinkler System,L S,623-09900,Sprinkler System,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0085,625-00000,Construction Surveying,L S,625-00000,Construction Surveying,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0086,626-00000,Mobilization,L S,626-00000,Mobilization,L S,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0087,627-00008,Modified Epoxy Pavement Marking,GAL,627-00008,Modified Epoxy Pavement Marking,GAL,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0088,627-30405,Preformed Thermoplastic Pavement Marking (Word- Symbol),SF,627-30405,Preformed Thermoplastic Pavement Marking (Word- Symbol),SF,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0089,630-00000,Flagging,HOUR,630-00000,Flagging,HOUR,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0090,630-00007,Traffic Control Inspection,DAY,630-00007,Traffic Control Inspection,DAY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0091,630-00012,Traffic Control Management,DAY,630-00012,Traffic Control Management,DAY,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0092,630-80335,Barricade (Type 3 M-A) (Temporary),EACH,630-80335,Barricade (Type 3 M-A) (Temporary),EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0093,630-80341,Construction Traffic Sign (Panel Size A),EACH,630-80341,Construction Traffic Sign (Panel Size A),EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0094,630-80342,Construction Traffic Sign (Panel Size B),EACH,630-80342,Construction Traffic Sign (Panel Size B),EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0095,630-80355,Portable Message Sign Panel,EACH,630-80355,Portable Message Sign Panel,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0096,630-80358,Advance Warning Flashing or Sequencing Arrow Panel (C Type),EACH,630-80358,Advance Warning Flashing or Sequencing Arrow Panel (C Type),EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0097,630-80360,Drum Channelizing Device,EACH,630-80360,Drum Channelizing Device,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0098,630-08380,Traffic Cone,EACH,630-80380,Traffic Cone,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0099,630-80384,Tubular Marker,EACH,630-80384,Tubular Marker,EACH,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0100,700-70023,F/A On-The-Job Trainee,F A,700-70023,F/A On-The-Job Trainee,F A,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0101,700-70082,F/A Furnish & Install Electrical Service,F A,700-70082,F/A Furnish & Install Electrical Service,F A,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0102,700-70380,F/A Erosion Control,F A,700-70380,F/A Erosion Control,F A,1,single_exact_description_unit_candidate
fhu_west_colfax_phase_1_20241003_row_0103,700-70589,F/A Environmental Health & Safety Management,F A,700-70589,F/A Environmental Health & Safety Management,F A,1,single_exact_description_unit_candidate
