project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
cdot_2024q4_cr300_278,US 40 (MP 36.64) AND SH 394 (M,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-12-19,cdot_cost_data_book_2024_q4,CR300-278,CR300-278 US 40 (MP 36.64) AND SH 394 (M,"AMERICAN WEST CONSTRUCTION, LLC",3,M,3,824948.00,57.48
cdot_2024q4_cr400_382,SH 66 MP 49.9 - 50.4,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-01-04,cdot_cost_data_book_2024_q4,CR400-382,CR400-382 SH 66 MP 49.9 - 50.4,"EDGE CONTRACTING, INC.",4,P,3,748495.00,98.49
cdot_2024q4_cr400_401,"US 34 & N VAN BUREN AVE, CO 40",CDOT,CO,Colorado / CDOT District 4,Roadway,2024-07-11,cdot_cost_data_book_2024_q4,CR400-401,"CR400-401 US 34 & N VAN BUREN AVE, CO 40","MORTON ELECTRIC, INC.",4,U,5,802142.50,64.69
cdot_2024q4_er0171_112,"SH 17 MP 0.3, 3.0 EMERGENCY CU",CDOT,CO,Colorado / CDOT District 5,Roadway,2024-06-20,cdot_cost_data_book_2024_q4,ER0171-112,"ER0171-112 SH 17 MP 0.3, 3.0 EMERGENCY CU",Robins Construction LLLP,5,M,6,3292634.21,86.60
cdot_2024q4_fbr_025a_060,PUEBLO,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-08-15,cdot_cost_data_book_2024_q4,FBR 025A-060,FBR 025A-060 PUEBLO,"SEMA CONSTRUCTION, INC.",2,U,4,105158918.35,104.20
cdot_2024q4_fbr0061_092,TIMBER BRIDGE REPLACEMENTS NEA,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-10-17,cdot_cost_data_book_2024_q4,FBR0061-092,FBR0061-092 TIMBER BRIDGE REPLACEMENTS NEA,W.W. CLYDE & CO.,4,P,9,19126166.00,93.54
cdot_2024q4_fbr0502_098,US 50 BLUE MESA RESERVOIR,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-07-01,cdot_cost_data_book_2024_q4,FBR0502-098,FBR0502-098 US 50 BLUE MESA RESERVOIR,KIEWIT INFRASTRUCTURE CO.,3,M,1,7757027.06,110.50
cdot_2024q4_fbr0502_099,US 50 BLUE MESA RESERVOIR,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-08-30,cdot_cost_data_book_2024_q4,FBR0502-099,FBR0502-099 US 50 BLUE MESA RESERVOIR,KIEWIT INFRASTRUCTURE CO.,3,M,1,37556728.27,100.00
cdot_2024q4_fbr0502_100,US 50 BLUE MESA RESERVOIR,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-09-25,cdot_cost_data_book_2024_q4,FBR0502-100,FBR0502-100 US 50 BLUE MESA RESERVOIR,KIEWIT INFRASTRUCTURE CO.,3,M,1,32162056.38,100.00
cdot_2024q4_fbr0702_425,I-70 MP 185.251 EAGLE COUNTY,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-02-13,cdot_cost_data_book_2024_q4,FBR0702-425,FBR0702-425 I-70 MP 185.251 EAGLE COUNTY,KIEWIT INFRASTRUCTURE CO.,3,M,1,40837403.86,100.00
cdot_2024q4_fbr0703_528,I70,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-06-25,cdot_cost_data_book_2024_q4,FBR0703-528,FBR0703-528 I70,"KRAEMER NORTH AMERICA, LLC",1,M,1,46780031.93,101.73
cdot_2024q4_fbr2853_005,US 285 MP 136.10 (STRUC J-12-A,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-01-25,cdot_cost_data_book_2024_q4,FBR2853-005,FBR2853-005 US 285 MP 136.10 (STRUC J-12-A,"AMERICAN WEST CONSTRUCTION, LLC",5,R,2,1957891.00,111.09
cdot_2024q4_fbr2872_020,US 40/287 - MP 417.7 TO 419.0,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-02-08,cdot_cost_data_book_2024_q4,FBR2872-020,FBR2872-020 US 40/287 - MP 417.7 TO 419.0,"CASTLE ROCK CONST. CO. OF COLO, LLC",4,P,6,8981782.60,115.52
cdot_2024q4_fsa0063_065,US6 AND POST BLVD ROUNDABOUT,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-01-04,cdot_cost_data_book_2024_q4,FSA0063-065,FSA0063-065 US6 AND POST BLVD ROUNDABOUT,"KSK, LLC",3,M,4,4300000.00,79.65
cdot_2024q4_fsa007a_037,SH 7 AND AIRPORT DR INTERSECTI,CDOT,CO,Colorado / CDOT District 6,Roadway,2024-11-21,cdot_cost_data_book_2024_q4,FSA007A-037,FSA007A-037 SH 7 AND AIRPORT DR INTERSECTI,"JALISCO INTERNATIONAL, INC.",6,R,4,4195723.75,93.24
