bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_arapahoe_big_dry_creek_20210924_row_0024,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,24,IFB 21-09-02,,202-04002,CDOT,202-04002,CLEAN CULVERT,202-04002,CLEAN CULVERT,EA,EACH,30.00,5000.00,1222.52,202-04002,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0025,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,25,IFB 21-09-02,,203-00060,CDOT,203-00060,EMBANKMENT MATERIAL (COMPLETE IN PLACE),203-00060,EMBANKMENT MATERIAL (COMPLETE IN PLACE),CY,CY,4457.00,60.00,36.98,203-00060,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0026,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,26,IFB 21-09-02,,203-01597,CDOT,203-01597,POTHOLING,203-01597,POTHOLING,HOUR,HOUR,10.00,250.00,295.13,203-01597,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0027,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,27,IFB 21-09-02,,206-00000,CDOT,206-00000,STRUCTURE EXCAVATION,206-00000,STRUCTURE EXCAVATION,CY,CY,4117.00,12.00,31.19,206-00000,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0028,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,28,IFB 21-09-02,,206-00100,CDOT,206-00100,STRUCTURE BACKFILL (CLASS 1),206-00100,STRUCTURE BACKFILL (CLASS 1),CY,CY,3475.00,40.00,45.44,206-00100,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0029,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,29,IFB 21-09-02,,206-00360,CDOT,206-00360,MECHANICAL REINFORCEMENT OF SOIL,206-00360,MECHANICAL REINFORCEMENT OF SOIL,CY,CY,1580.00,20.00,25.76,206-00360,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0030,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,30,IFB 21-09-02,,206-00510,CDOT,206-00510,FILTER MATERIAL (CLASS A),206-00510,FILTER MATERIAL (CLASS A),CY,CY,841.00,65.00,91.58,206-00510,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0031,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,31,IFB 21-09-02,,206-01750,CDOT,206-01750,SHORING,206-01750,SHORING,LS,L S,2.00,20000.00,169044.35,206-01750,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0032,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,32,IFB 21-09-02,,207-00205,CDOT,207-00205,TOPSOIL,207-00205,TOPSOIL,CY,CY,876.00,10.00,28.24,207-00205,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0033,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,33,IFB 21-09-02,,208-00002,CDOT,208-00002,SEDIMENT CONTROL LOG (12 INCH),208-00002,SEDIMENT CONTROL LOG (12 INCH),LF,LF,1770.00,2.50,5.61,208-00002,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0034,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,34,IFB 21-09-02,,208-00033,CDOT,208-00033,SEDIMENT TRAP,208-00033,SEDIMENT TRAP,EACH,EACH,4.00,3000.00,2200.99,208-00033,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0035,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,35,IFB 21-09-02,,208-00035,CDOT,208-00035,REINFORCED ROCK BERM,208-00035,REINFORCED ROCK BERM,LF,LF,520.00,150.00,17.30,208-00035,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0036,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,36,IFB 21-09-02,,208,CDOT,208,REINFORCED ROCK BERM FOR CULVERT PROTECTION,208,REINFORCED ROCK BERM FOR CULVERT PROTECTION,LF,LF,85.00,200.00,21.46,,source_cdot_prefix_only,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0037,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,37,IFB 21-09-02,,208-00045,CDOT,208-00045,CONCRETE WASHOUT STRUCTURE,208-00045,CONCRETE WASHOUT STRUCTURE,EACH,EACH,1.00,2000.00,8770.33,208-00045,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0038,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,38,IFB 21-09-02,,208-00050,CDOT,208-00050,INLET PROTECTION,208-00050,INLET PROTECTION,EACH,EACH,2.00,200.00,359.44,208-00050,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0039,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,39,IFB 21-09-02,,208,CDOT,208,TEMPORARY SLOPE DRAIN,208,TEMPORARY SLOPE DRAIN,EACH,EACH,6.00,200.00,1302.25,,source_cdot_prefix_only,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0040,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,40,IFB 21-09-02,,208-00070,CDOT,208-00070,VEHICLE TRACKING CONTROL,208-00070,VEHICLE TRACKING CONTROL,EACH,EACH,1.00,2000.00,3246.27,208-00070,matched,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0041,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,41,IFB 21-09-02,,208,CDOT,208,STABILIZED STAGING AREA,208,STABILIZED STAGING AREA,SY,SY,1365.00,5.00,10.61,,source_cdot_prefix_only,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0042,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,42,IFB 21-09-02,,208,CDOT,208,CONSTRUCTION FENCE,208,CONSTRUCTION FENCE,LF,LF,1719.00,3.00,3.02,,source_cdot_prefix_only,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0043,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,43,IFB 21-09-02,,208,CDOT,208,CURB SOCK,208,CURB SOCK,LF,LF,234.00,15.00,12.86,,source_cdot_prefix_only,2021-09-24
fhu_arapahoe_big_dry_creek_20210924_row_0044,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,2021 09 21 Bids Arapahoe Road over Big Dry Creek_BID FORM.xlsx,Bid Form,44,IFB 21-09-02,,208-00207,CDOT,208-00207,EROSION CONTROL MANAGEMENT,208-00207,EROSION CONTROL MANAGEMENT,DAY,DAY,365.00,150.00,235.79,208-00207,matched,2021-09-24
