bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_ralston_yukon_garrison_20210205_row_0185,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,185,18-ST-40,178,COA 3.47,COA,COA 3.47,TRAFFIC SIGNAL-LIGHT POLE (1-35 FOOT MAST ARM),613-74000,TRAFFIC SIGNAL-LIGHT POLE (1-35 FOOT MAST ARM),EA,EACH,2.00,22000.00,26443.29,613-74000,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0186,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,186,18-ST-40,179,COA 3.47,COA,COA 3.47,TRAFFIC SIGNAL-LIGHT POLE (1-40 FOOT MAST ARM),613-74000,TRAFFIC SIGNAL-LIGHT POLE (1-40 FOOT MAST ARM),EA,EACH,3.00,23000.00,27324.46,613-74000,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0187,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,187,18-ST-40,180,COA 3.47,COA,COA 3.47,TRAFFIC SIGNAL-LIGHT POLE (1-45 FOOT MAST ARM),613-74000,TRAFFIC SIGNAL-LIGHT POLE (1-45 FOOT MAST ARM),EA,EACH,1.00,23500.00,28524.00,613-74000,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0188,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,188,18-ST-40,181,COA 3.47,COA,COA 3.47,TRAFFIC SIGNAL-LIGHT POLE (1-50 FOOT MAST ARM),613-74000,TRAFFIC SIGNAL-LIGHT POLE (1-50 FOOT MAST ARM),EA,EACH,4.00,24000.00,35029.49,613-74000,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0189,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,189,18-ST-40,182,COA 3.47,COA,COA 3.47,TRAFFIC SIGNAL PEDESTAL POLE STEEL,614-84000,TRAFFIC SIGNAL PEDESTAL POLE STEEL,EA,EACH,5.00,2100.00,900.27,614-84000,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0190,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,190,18-ST-40,183,CDOT 630.09,CDOT,CDOT 630.09,TEMPORARY SIGNAL (PORTABLE),630-86810,TEMPORARY SIGNAL (PORTABLE),EA,EACH,4.00,25000.00,26998.93,630-86810,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0191,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,191,18-ST-40,184,COA 50.2.10,COA,COA 50.2.10,UNINTERRUPTED POWER SUPPLY,614-86800,UNINTERRUPTED POWER SUPPLY,EA,EACH,4.00,9000.00,6540.73,614-86800,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0192,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,192,18-ST-40,185,COA 3.47,COA,COA 3.47,CLOSED CIRCUIT TELEVISION CAMERA (TRAFFIC SURVEILLANCE),614-87320,CLOSED CIRCUIT TELEVISION CAMERA (TRAFFIC SURVEILLANCE),EA,EACH,1.00,5200.00,5451.60,614-87320,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0193,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,193,18-ST-40,186,CDOT 614,CDOT,CDOT 614,FIBER OPTIC CABLE (SINGLE MODE) (12 FIBER),614-87010,FIBER OPTIC CABLE (SINGLE MODE) (12 FIBER),LF,LF,1000.00,25.00,2.82,614-87010,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0194,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,194,18-ST-40,187,CDOT 614,CDOT,CDOT 614,TEST FIBER OPTIC CABLE,614-87350,TEST FIBER OPTIC CABLE,LS,L S,1.00,15000.00,1083.62,614-87350,matched,2021-02-05
