warning
Preserved nonstandard item code 214 for ORNAMENTAL GRASS (1 GALLON CONTAINER) (EACH); no exact compatible CDOT item match.
Resolved short agency item code 304 for AGGREGATE BASE COURSE (CLASS 6) (CY) to 304-06007.
Resolved short agency item code 412 for CONCRETE PAVEMENT (9 INCH) (SY) to 412-00900.
Resolved short agency item code 412 for CONCRETE PAVEMENT (9 INCH) (FAST TRACK) (SY) to 412-00920.
Preserved nonstandard item code 503 for DRILLED SHAFT (18 INCH) (SPECIAL) (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 503 for DRILLED SHAFT (48 INCH) (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 603 for 24 INCH REINFORCED CONCRETE PIPE (COMPLETE IN PLACE) (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Resolved short agency item code 604 for INLET SPECIAL (EACH) to 604-19000.
Preserved nonstandard item code 607 for CONSTRUCTION FENCE (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Resolved short agency item code 608 for CONCRETE SIDEWALK (6 INCH) (SY) to 608-00006.
Resolved short agency item code 608 for CONCRETE CURB RAMP (SY) to 608-00010.
Preserved nonstandard item code 609 for CURB AND GUTTER TYPE 2 (SECTION I-B) (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 609 for CURB AND GUTTER TYPE 2 (SECTION II-B) (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 610 for MEDIAN COVER MATERIAL (COLORED EXPOSED AGGREGATE) (SQUARE FOOT/FEET); no exact compatible CDOT item match.
Resolved short agency item code 612 for DELINEATOR (TYPE I) (EACH) to 612-00001.
Preserved nonstandard item code 613 for 2 INCH ELECTRICAL CONDUIT (BORED) (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 613 for 3 INCH ELECTRICAL CONDUIT (BORED) (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 613 for PULL BOX (SMALL) (EACH); no exact compatible CDOT item match.
Preserved nonstandard item code 613 for PULL BOX (MEDIUM) (EACH); no exact compatible CDOT item match.
Preserved nonstandard item code 613 for WIRING (LIGHTING AND IRRIGATION) (L S); no exact compatible CDOT item match.
Resolved short agency item code 613 for WIRING (L S) to 613-10000.
Preserved nonstandard item code 614 for SIGN PANEL (CLASS I) (OVERHEAD) (SQUARE FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 614 for SIGN PANEL (CLASS I) (SQUARE FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 614 for STEEL SIGN POST (2X2 INCH TUBING) (LINEAR FOOT/FEET); no exact compatible CDOT item match.
Resolved short agency item code 614 for SIGNAL HEAD BACKPLATES (EACH) to 614-10160.
Resolved short agency item code 614 for PEDESTRIAN SIGNAL FACE (16) (COUNTDOWN) (EACH) to 614-70150.
Resolved short agency item code 614 for TRAFFIC SIGNAL FACE (12-12-12) (EACH) to 614-70336.
Resolved short agency item code 614 for TRAFFIC SIGNAL FACE (12-12-12-12) (EACH) to 614-70448.
Resolved short agency item code 614 for PEDESTRIAN PUSH BUTTON (EACH) to 614-72860.
Resolved short agency item code 614 for MICROWAVE VEHICLE RADAR DETECTOR (EACH) to 614-72887.
Resolved short agency item code 614 for TRAFFIC SIGNAL-LIGHT POLE STEEL (1 MAST ARM) (INSTALL ONLY) (EACH) to 614-81011.
Resolved short agency item code 614 for TRAFFIC SIGNAL PEDESTAL POLE ALUMINUM (EACH) to 614-84100.
Resolved short agency item code 614 for PAINT TRAFFIC SIGNAL POLE (EACH) to 614-85520.
Preserved nonstandard item code 619 for 3/4 INCH WATER METER (EACH); no exact compatible CDOT item match.
Preserved nonstandard item code 619 for 3/4 INCH WATER TAP (EACH); no exact compatible CDOT item match.
Resolved short agency item code 620 for SANITARY FACILITY (EACH) to 620-00020.
Resolved short agency item code 625 for CONSTRUCTION SURVEYING (L S) to 625-00000.
Resolved short agency item code 626 for MOBILIZATION (L S) to 626-00000.
Preserved nonstandard item code 627 for MODIFIED EPOXY PAVEMENT MARKING (GALLON); no exact compatible CDOT item match.
Preserved nonstandard item code 627 for PREFORMED THERMOPLASTIC PAVEMENT MARKING (WORD- SYMBOL) (SQUARE FOOT/FEET); no exact compatible CDOT item match.
Preserved nonstandard item code 627 for PREFORMED THERMOPLASTIC PAVEMENT MARKING (XWALK-STOP LINE) (SQUARE FOOT/FEET); no exact compatible CDOT item match.
Included schedule total Capital 1334229.55 differs from calculated total 1102639.40.
"Included schedule total Concrete Express, Inc. 2141162.85 differs from calculated total 1806162.85."
Included schedule total Elite Surface Infrastructure 1167852.80 differs from calculated total 1011852.80.
Included schedule total GoodLand Construction Inc. 1491218.10 differs from calculated total 1340218.10.
"Included schedule total Jalisco International, Inc. 1480717.50 differs from calculated total 1230717.50."
Included schedule total Native Sun Construction 1543737.13 differs from calculated total 1243842.39.
"Unknown normalized units preserved as raw values: Cubic Foot/Feet, Gallon, Linear Foot/Feet, Square Foot/Feet"
