bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_watson_20211216_row_0124,610-00035,MEDIAN COVER MATERIAL (CONCRETE) (SPECIAL),SF,610-00035,Median Cover Material (Concrete)(Special),SF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0125,612-00001,DELINEATOR (TYPE I),EACH,612-00001,Delineator (Type I),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0126,612-00003,DELINEATOR (TYPE III),EACH,612-00003,Delineator (Type III),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0127,613-01100,1 INCH ELECTRICAL CONDUIT (PLASTIC),LF,613-01100,1 Inch Electrical Conduit (Plastic),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0128,613-01200,2 INCH ELECTRICAL CONDUIT (PLASTIC),LF,613-01200,2 Inch Electrical Conduit (Plastic),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0129,613-01202,2 INCH ELECTRICAL CONDUIT (PLASTIC) (INSTALL ONLY),LF,613-01202,2 Inch Electrical Conduit (Plastic) (Install Only),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0130,613-01300,3 INCH ELECTRICAL CONDUIT (PLASTIC),LF,613-01300,3 Inch Electrical Conduit (Plastic),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0131,613-07002,TYPE TWO PULL BOX,EACH,613-07002,Type Two Pull Box,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0132,613-07023,"PULL BOX (24""X36""X24"")",EACH,613-07023,"Pull Box (24""x36""x24"")",EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0133,613-07199,PULL BOX (INSTALL ONLY),EACH,613-07199,Pull Box (Install Only),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0134,613-10000,WIRING,L S,613-10000,Wiring,L S,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0135,613-13008,"LUMINAIRE (LED) (8,000 LUMENS)",EACH,613-13008,"Luminaire (LED) (8,000 Lumens)",EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0136,613-20000,LIGHT STANDARD AND LUMINAIRE (INSTALL ONLY),EACH,613-20000,Light Standard and Luminaire (Install Only),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0137,613-34250,LIGHT STANDARD METAL (25 FOOT),EACH,613-34250,Light Standard Metal (25 Foot),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0138,613-40000,CONCRETE FOUNDATION PAD,EACH,613-40000,Concrete Foundation Pad,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0139,613-40010,LIGHT STANDARD FOUNDATION,EACH,613-40010,Light Standard Foundation,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0140,613-40012,LIGHT STANDARD FOUNDATION (SPECIAL),EACH,613-40012,Light Standard Foundation Special,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0141,613-50100,LIGHTING CONTROL CENTER,EACH,613-50100,Lighting Control Center,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0143,614-00011,SIGN PANEL (CLASS I),SF,614-00011,Sign Panel (Class I),SF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0144,614-00012,SIGN PANEL (CLASS II),SF,614-00012,Sign Panel (Class II),SF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0145,614-01512,STEEL SIGN SUPPORT (2-INCH ROUND) (POST),LF,614-01512,Steel Sign Support (2-Inch Round)(Post),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0146,614-01522,STEEL SIGN SUPPORT (2-INCH ROUND) (SOCKET),EACH,614-01522,Steel Sign Support (2-Inch Round)(Socket),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0147,614-01575,STEEL SIGN SUPPORT (2-1/2 INCH ROUND NP-40) (POST),LF,614-01575,Steel Sign Support (2-1/2 Inch Round NP-40)(Post),LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0148,614-01578,STEEL SIGN SUPPORT (2-1/2 INCH ROUND NP-40) (SLIPBASE),EACH,614-01578,Steel Sign Support (2-1/2 Inch Round NP- 40)(Slipbase),EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0149,614-80385,RUMBLE STRIP,LF,614-80385,Rumble Strip,LF,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0152,619-00007,CONNECT TO EXISTING WATERLINE,EACH,619-00007,Connect To Existing Waterline,EACH,1,single_exact_description_unit_candidate
fhu_watson_20211216_row_0153,619-06060,6 INCH DUCTILE IRON PIPE,LF,603-82006,6 Inch Ductile Iron Pipe,LF,2,multiple_exact_description_unit_candidates
fhu_watson_20211216_row_0153,619-06060,6 INCH DUCTILE IRON PIPE,LF,619-06060,6 Inch Ductile Iron Pipe,LF,2,multiple_exact_description_unit_candidates
fhu_watson_20211216_row_0154,619-75048,6 INCH GATE VALVE,EACH,619-75048,6 Inch Gate Valve,EACH,2,multiple_exact_description_unit_candidates
fhu_watson_20211216_row_0154,619-75048,6 INCH GATE VALVE,EACH,623-05048,6 Inch Gate Valve,EACH,2,multiple_exact_description_unit_candidates
fhu_watson_20211216_row_0155,619-77210,RESTRAINED PLUG (SPECIAL),EACH,619-77210,Restrained Plug (Special),EACH,1,single_exact_description_unit_candidate
