bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_west_colfax_phase_1_20241003_row_0032,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,32,Bid No. 6039,25,211-03005,CDOT,211-03005,Dewatering,211-03005,Dewatering,LS,L S,1,10000.00,25629.00,211-03005,matched,2024-10-03,1,,
fhu_west_colfax_phase_1_20241003_row_0033,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,33,Bid No. 6039,26,212-00047,CDOT,212-00047,Soil Preparation (Special),212-00047,Soil Preparation (Special),ACRE,ACRE,1,250000.00,14536.00,212-00047,matched,2024-10-03,1,,
fhu_west_colfax_phase_1_20241003_row_0034,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,34,Bid No. 6039,27,212-00100,CDOT,212-00100,Tree Retention and Protection,212-00100,Tree Retention and Protection,LS,L S,1,10000.00,7340.00,212-00100,matched,2024-10-03,1,,
fhu_west_colfax_phase_1_20241003_row_0035,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,35,Bid No. 6039,28,213-00007,CDOT,213-00007,Mulching (Wood Strand),213-00007,Mulching (Wood Strand),ACRE,ACRE,0.017,800000.00,115894.09,213-00007,matched,2024-10-03,0.017,,
fhu_west_colfax_phase_1_20241003_row_0036,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,36,Bid No. 6039,29,213-00067,CDOT,213-00067,Rock Mulch (Weed Free),213-00067,Rock Mulch (Weed Free),SF,SF,30297,5.00,1.82,213-00067,matched,2024-10-03,30297,,
fhu_west_colfax_phase_1_20241003_row_0037,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,37,Bid No. 6039,30,214-00000,CDOT,214-00000,Landscape Maintenance,214-00000,Landscape Maintenance,LS,L S,1,20000.00,103588.80,214-00000,matched,2024-10-03,1,,
fhu_west_colfax_phase_1_20241003_row_0038,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,38,Bid No. 6039,31,214-00230,CDOT,214-00230,Deciduous Tree (3 Inch Caliper),214-00230,Deciduous Tree (3 Inch Caliper),EACH,EACH,80,800.00,985.80,214-00230,matched,2024-10-03,80,,
fhu_west_colfax_phase_1_20241003_row_0039,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,39,Bid No. 6039,32,214-00350,CDOT,214-00350,Deciduous Shrub (5 Gallon Container),214-00350,Deciduous Shrub (5 Gallon Container),EACH,EACH,663,80.00,81.46,214-00350,matched,2024-10-03,663,,
fhu_west_colfax_phase_1_20241003_row_0040,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,40,Bid No. 6039,33,214-00650,CDOT,214-00650,Evergreen Shrub (5 Gallon Container),214-00650,Evergreen Shrub (5 Gallon Container),EACH,EACH,417,100.00,92.32,214-00650,matched,2024-10-03,417,,
fhu_west_colfax_phase_1_20241003_row_0041,fhu_bid_tab_west_colfax_phase_1_2024_10_03_bid_6039,fhu_bid_tab_west_colfax_phase_1_2024_10_03,Cost Estimate Data Tracking-MASTER.xlsx,W Colfax Ph1,41,Bid No. 6039,34,214-00910,CDOT,214-00910,Perennials (1 Gallon Container),214-00910,Perennials (1 Gallon Container),EACH,EACH,7230,30.00,28.03,214-00910,matched,2024-10-03,7230,,
