bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_watson_20211216_row_0056,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,56,320150,,208-00207,CDOT,208-00207,EROSION CONTROL MANAGEMENT,208-00207,EROSION CONTROL MANAGEMENT,DAY,DAY,25.00,400.00,406.11,208-00207,matched,2021-12-16
fhu_watson_20211216_row_0057,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,57,320150,,208-00400,CDOT,208-00400,WATER CONTROL,208-00400,WATER CONTROL,LS,L S,1.00,10000.00,11250.51,208-00400,matched,2021-12-16
fhu_watson_20211216_row_0058,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,58,320150,,210-00750,CDOT,210-00750,RESET LIGHT STANDARD,210-00750,RESET LIGHT STANDARD,EACH,EACH,4.00,700.00,1412.68,210-00750,matched,2021-12-16
fhu_watson_20211216_row_0059,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,59,320150,,210-00810,CDOT,210-00810,RESET GROUND SIGN,210-00810,RESET GROUND SIGN,EACH,EACH,4.00,300.00,294.66,210-00810,matched,2021-12-16
fhu_watson_20211216_row_0060,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,60,320150,,210-00815,CDOT,210-00815,RESET SIGN PANEL,210-00815,RESET SIGN PANEL,EACH,EACH,4.00,150.00,92.56,210-00815,matched,2021-12-16
fhu_watson_20211216_row_0061,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,61,320150,,210-00827,CDOT,210-00827,RESET PULL BOX,210-00827,RESET PULL BOX,EACH,EACH,1.00,1000.00,1335.41,210-00827,matched,2021-12-16
fhu_watson_20211216_row_0062,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,62,320150,,210-04050,CDOT,210-04050,ADJUST VALVE BOX,210-04050,ADJUST VALVE BOX,EACH,EACH,2.00,500.00,330.70,210-04050,matched,2021-12-16
fhu_watson_20211216_row_0063,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,63,320150,,210-04010,CDOT,210-04010,ADJUST MANHOLE,210-04010,ADJUST MANHOLE,EACH,EACH,3.00,1000.00,1265.97,210-04010,matched,2021-12-16
fhu_watson_20211216_row_0064,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,64,320150,,212-00011,CDOT,212-00011,SHORT DRY GRASS SEED (IRRIGATED) (SPECIAL),212-00011,SHORT DRY GRASS SEED (IRRIGATED) (SPECIAL),ACRE,ACRE,0.07,10000.00,3511.86,212-00011,matched,2021-12-16
fhu_watson_20211216_row_0065,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,2021 12 16 Bid Tabs Watson Ave Roundabout.xlsx,SAQ,65,320150,,212-00032,CDOT,212-00032,SOIL CONDITIONING,212-00032,SOIL CONDITIONING,ACRE,ACRE,0.36,5000.00,4722.17,212-00032,matched,2021-12-16
