bid_tab_item_id,source_item_code,source_item_description,unit_normalized,candidate_agency_item_code,candidate_description,candidate_unit,candidate_count,suggestion_status
fhu_colorado_blvd_20260601_row_0062,604-00305,INLET TYPE C (5 FOOT),EACH,604-00305,Inlet Type C (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0063,604-16605,INLET TYPE 16 (TRIPLE) (5 FOOT),EACH,604-16605,Inlet Type 16 (Triple) (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0064,604-19000,INLET SPECIAL,EACH,604-19000,Inlet Special,EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0065,604-19110,INLET TYPE R L 5 (10 FOOT),EACH,604-19110,Inlet Type R L 5 (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0066,604-19205,INLET TYPE R L 10 (5 FOOT),EACH,604-19205,Inlet Type R L 10 (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0067,604-19210,INLET TYPE R L 10 (10 FOOT),EACH,604-19210,Inlet Type R L 10 (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0068,604-19305,INLET TYPE R L 15 (5 FOOT),EACH,604-19305,Inlet Type R L 15 (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0069,604-19310,INLET TYPE R L 15 (10 FOOT),EACH,604-19310,Inlet Type R L 15 (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0070,604-19405,INLET TYPE R SPECIAL (5 FOOT),EACH,604-19405,Inlet Type R Special (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0071,604-30010,MANHOLE SLAB BASE (10 FOOT),EACH,604-30010,Manhole Slab Base (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0072,604-30015,MANHOLE SLAB BASE (15 FOOT),EACH,604-30015,Manhole Slab Base (15 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0073,604-31000,MANHOLE BOX BASE (SPECIAL),EACH,604-31000,Manhole Box Base (Special),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0074,604-31005,MANHOLE BOX BASE (5 FOOT),EACH,604-31005,Manhole Box Base (5 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0075,604-31010,MANHOLE BOX BASE (10 FOOT),EACH,604-31010,Manhole Box Base (10 Foot),EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0076,608-10010,SIDEWALK DRAIN,EACH,608-10010,Sidewalk Drain,EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0078,202-04002,CLEAN CULVERT,EACH,202-04002,Clean Culvert,EACH,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0079,203-01500,BLADING,HOUR,203-01500,Blading,HOUR,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0080,203-01550,DOZING,HOUR,203-01550,Dozing,HOUR,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0081,203-01594,COMBINATION LOADER,HOUR,203-01594,Combination Loader,HOUR,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0082,207-00606,TOPSOIL (IMPORTED),CY,207-00606,Topsoil (Imported),CY,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0083,207-00700,TOPSOIL (ONSITE),CY,207-00700,Topsoil (Onsite),CY,1,single_exact_description_unit_candidate
fhu_colorado_blvd_20260601_row_0084,208-00002,EROSION LOG TYPE 1 (12 INCH),LF,208-00002,Erosion Log Type 1 (12 Inch),LF,1,single_exact_description_unit_candidate
