bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis,engineer_estimate_quantity,audit_estimate_unit_price,audit_estimate_extended_price
fhu_west_colfax_phase_2_20260123_row_0028,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,28,FHU-W-COLFAX-PH2,24,203-01500,CDOT,203-01500,BLADING,203-01500,BLADING,HOUR,HOUR,20,200.00,,203-01500,matched,2026-01-23,20,,
fhu_west_colfax_phase_2_20260123_row_0029,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,29,FHU-W-COLFAX-PH2,25,203-01550,CDOT,203-01550,DOZING,203-01550,DOZING,HOUR,HOUR,20,200.00,,203-01550,matched,2026-01-23,20,,
fhu_west_colfax_phase_2_20260123_row_0030,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,30,FHU-W-COLFAX-PH2,26,203-01594,CDOT,203-01594,COMBINATION LOADER,203-01594,COMBINATION LOADER,HOUR,HOUR,20,200.00,,203-01594,matched,2026-01-23,20,,
fhu_west_colfax_phase_2_20260123_row_0031,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,31,FHU-W-COLFAX-PH2,27,203-01597,CDOT,203-01597,POTHOLING,203-01597,POTHOLING,HOUR,HOUR,372,250.00,,203-01597,matched,2026-01-23,372,,
fhu_west_colfax_phase_2_20260123_row_0032,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,32,FHU-W-COLFAX-PH2,28,206-00065,CDOT,206-00065,STRUCTURE BACKFILL (FLOW-FILL),206-00065,STRUCTURE BACKFILL (FLOW-FILL),CY,CY,155,250.00,,206-00065,matched,2026-01-23,155,,
fhu_west_colfax_phase_2_20260123_row_0033,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,33,FHU-W-COLFAX-PH2,29,206-00510,CDOT,206-00510,FILTER MATERIAL (CLASS A),206-00510,FILTER MATERIAL (CLASS A),CY,CY,2,1000.00,,206-00510,matched,2026-01-23,2,,
fhu_west_colfax_phase_2_20260123_row_0034,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,34,FHU-W-COLFAX-PH2,30,207-00210,CDOT,207-00210,STOCKPILE TOPSOIL,207-00210,STOCKPILE TOPSOIL,CY,CY,114,30.00,,207-00210,matched,2026-01-23,114,,
fhu_west_colfax_phase_2_20260123_row_0035,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,35,FHU-W-COLFAX-PH2,31,207-00405,CDOT,207-00405,TOPSOIL (SPECIAL),207-00405,TOPSOIL (SPECIAL),CY,CY,3172,100.00,,207-00405,matched,2026-01-23,3172,,
fhu_west_colfax_phase_2_20260123_row_0036,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,36,FHU-W-COLFAX-PH2,32,207-00700,CDOT,207-00700,TOPSOIL (ONSITE),207-00700,TOPSOIL (ONSITE),CY,CY,492,20.00,,207-00700,matched,2026-01-23,492,,
fhu_west_colfax_phase_2_20260123_row_0037,fhu_estimate_west_colfax_phase_2_2026_01_23,fhu_estimate_west_colfax_phase_2_2026_01_23,Cost Estimate Data Tracking-MASTER.xlsx,W Colfasx Ph2,37,FHU-W-COLFAX-PH2,33,208-00002,CDOT,208-00002,EROSION LOG TYPE 1 (12 INCH),208-00002,EROSION LOG TYPE 1 (12 INCH),LF,LF,384,8.00,,208-00002,matched,2026-01-23,384,,
