bidder_item_observation_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_arapahoe_big_dry_creek_20210924_row_0007_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00026,REMOVAL OF SLOPE AND DITCH PAVING,SY,SY,112.00,16.00,1792.00
fhu_arapahoe_big_dry_creek_20210924_row_0008_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00035,REMOVAL OF PIPE,LF,LF,870.00,14.00,12180.00
fhu_arapahoe_big_dry_creek_20210924_row_0008_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00035,REMOVAL OF PIPE,LF,LF,870.00,26.43,22994.10
fhu_arapahoe_big_dry_creek_20210924_row_0008_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00035,REMOVAL OF PIPE,LF,LF,870.00,40.00,34800.00
fhu_arapahoe_big_dry_creek_20210924_row_0008_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00035,REMOVAL OF PIPE,LF,LF,870.00,40.00,34800.00
fhu_arapahoe_big_dry_creek_20210924_row_0008_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00035,REMOVAL OF PIPE,LF,LF,870.00,35.00,30450.00
fhu_arapahoe_big_dry_creek_20210924_row_0009_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00037,REMOVAL OF END SECTION,EACH,EACH,1.00,293.00,293.00
fhu_arapahoe_big_dry_creek_20210924_row_0009_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00037,REMOVAL OF END SECTION,EACH,EACH,1.00,383.25,383.25
fhu_arapahoe_big_dry_creek_20210924_row_0009_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00037,REMOVAL OF END SECTION,EACH,EACH,1.00,250.00,250.00
fhu_arapahoe_big_dry_creek_20210924_row_0009_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00037,REMOVAL OF END SECTION,EACH,EACH,1.00,400.00,400.00
fhu_arapahoe_big_dry_creek_20210924_row_0009_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00037,REMOVAL OF END SECTION,EACH,EACH,1.00,460.00,460.00
