agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
sd_sddot_110E5020,SD,sd_sddot,South Dakota Department of Transportation,110E5020,sd_sddot_110E5020_v20260727,current,
sd_sddot_110E5030,SD,sd_sddot,South Dakota Department of Transportation,110E5030,sd_sddot_110E5030_v20260727,current,
sd_sddot_110E5040,SD,sd_sddot,South Dakota Department of Transportation,110E5040,sd_sddot_110E5040_v20260727,current,
sd_sddot_110E5100,SD,sd_sddot,South Dakota Department of Transportation,110E5100,sd_sddot_110E5100_v20260727,current,
sd_sddot_110E5105,SD,sd_sddot,South Dakota Department of Transportation,110E5105,sd_sddot_110E5105_v20260727,current,
sd_sddot_110E5110,SD,sd_sddot,South Dakota Department of Transportation,110E5110,sd_sddot_110E5110_v20260727,current,
sd_sddot_110E5150,SD,sd_sddot,South Dakota Department of Transportation,110E5150,sd_sddot_110E5150_v20260727,current,
sd_sddot_110E5450,SD,sd_sddot,South Dakota Department of Transportation,110E5450,sd_sddot_110E5450_v20260727,current,
sd_sddot_110E5451,SD,sd_sddot,South Dakota Department of Transportation,110E5451,sd_sddot_110E5451_v20260727,current,
sd_sddot_110E5500,SD,sd_sddot,South Dakota Department of Transportation,110E5500,sd_sddot_110E5500_v20260727,current,
sd_sddot_110E5510,SD,sd_sddot,South Dakota Department of Transportation,110E5510,sd_sddot_110E5510_v20260727,current,
