source_document_id,source_id,document_role,source_url,source_file_name,sha256,media_type,published_on,retrieved_on,notes
sd_sddot_bid_tabs_2024_03_20_final,sd_sddot_bid_tabs_2024_03_20,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/03202024final.pdf,03202024final.pdf,2436e4e73e9ad725139abeb83fa08b46c100a1821c494cf7b370ad5325cb26ae,application/pdf,2024-03-20,2026-07-27,
sd_sddot_bid_tabs_2024_04_04_abstract,sd_sddot_bid_tabs_2024_04_04,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/04042024abstract.pdf,04042024abstract.pdf,ff9a2c292f059023a96640d3d93d62b00b34b65b2f5f74576347c33418396df0,application/pdf,2024-04-04,2026-07-27,
sd_sddot_bid_tabs_2024_04_04_final,sd_sddot_bid_tabs_2024_04_04,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/04042024final.pdf,04042024final.pdf,9532748dd5eae66348eae871fe8e7ab039bac1e74e1f124bd0cfc40ee97a6940,application/pdf,2024-04-04,2026-07-27,
sd_sddot_bid_tabs_2024_04_17_abstract,sd_sddot_bid_tabs_2024_04_17,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/04172024abstract.pdf,04172024abstract.pdf,32591757dd78b26f5899e4029f143e5d4d4d2fa346ec961fa0ef2316db6f1681,application/pdf,2024-04-17,2026-07-27,
sd_sddot_bid_tabs_2024_04_17_final,sd_sddot_bid_tabs_2024_04_17,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/04172024final.pdf,04172024final.pdf,4489537fa08551c265a85b4cbc436d809ad7f1362331948d00ddb7fa69918a3f,application/pdf,2024-04-17,2026-07-27,
sd_sddot_bid_tabs_2024_05_01_abstract,sd_sddot_bid_tabs_2024_05_01,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/05012024abstract.pdf,05012024abstract.pdf,f12ab9d9cfd47ffd6e7fb06fa4ac6eba136994c6f393de4ce79a359a1504505d,application/pdf,2024-05-01,2026-07-27,
sd_sddot_bid_tabs_2024_05_01_final,sd_sddot_bid_tabs_2024_05_01,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/05012024final.pdf,05012024final.pdf,05cccbec1d9ff1a53041e8b4e7d0843a54910bf7ee679ee976337cfdfb0640df,application/pdf,2024-05-01,2026-07-27,
sd_sddot_bid_tabs_2024_05_15_abstract,sd_sddot_bid_tabs_2024_05_15,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/05152024abstract.pdf,05152024abstract.pdf,45cdc764a5bb66f288db52331fcef59109d0a33943bbac61c4e88df60c05bcdc,application/pdf,2024-05-15,2026-07-27,
sd_sddot_bid_tabs_2024_05_15_final,sd_sddot_bid_tabs_2024_05_15,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/05152024final.pdf,05152024final.pdf,b571c756a82ab14d679169ef348d394651abf4f92ef325de379bc26f39794dfb,application/pdf,2024-05-15,2026-07-27,
sd_sddot_bid_tabs_2024_06_05_abstract,sd_sddot_bid_tabs_2024_06_05,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/06052024abstract.pdf,06052024abstract.pdf,e9f4801f9c06e306acef5887f52861b3c9a15b807b67ec93628a6eb5653e0564,application/pdf,2024-06-05,2026-07-27,
sd_sddot_bid_tabs_2024_06_05_final,sd_sddot_bid_tabs_2024_06_05,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/06052024final.pdf,06052024final.pdf,fd8ab491abe3e5c893c94c88845f4392c143e6a9bf78b7a8e45250e1803230e8,application/pdf,2024-06-05,2026-07-27,
sd_sddot_bid_tabs_2024_06_26_abstract,sd_sddot_bid_tabs_2024_06_26,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/06262024abstract.pdf,06262024abstract.pdf,5ea874a8de8a073085b3047bf15a61bbc333c9a5ea5d996ce703f026df3df051,application/pdf,2024-06-26,2026-07-27,
sd_sddot_bid_tabs_2024_06_26_final,sd_sddot_bid_tabs_2024_06_26,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/06262024final.pdf,06262024final.pdf,3c8146681aaf9998ce40a82713b6c740cdb78446b852f7445ddebc79db96d88f,application/pdf,2024-06-26,2026-07-27,
sd_sddot_bid_tabs_2024_07_17_abstract,sd_sddot_bid_tabs_2024_07_17,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/07172024abstract.pdf,07172024abstract.pdf,60c312d58d696c4ed6ceab2a92fea9e1e660beb3d9eac582c4ee31826527af94,application/pdf,2024-07-17,2026-07-27,
sd_sddot_bid_tabs_2024_07_17_final,sd_sddot_bid_tabs_2024_07_17,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/07172024final.pdf,07172024final.pdf,d1010b4c30a5ef9bc1c810a9db1798410302ecc49c82d27b5e9ab65b36d53e9c,application/pdf,2024-07-17,2026-07-27,
sd_sddot_bid_tabs_2024_08_07_abstract,sd_sddot_bid_tabs_2024_08_07,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/08072024abstract.pdf,08072024abstract.pdf,be4fa6d769d3aeee4db3d820a0721c0198baca763cd67bb05a886bb6986d2326,application/pdf,2024-08-07,2026-07-27,
sd_sddot_bid_tabs_2024_08_07_final,sd_sddot_bid_tabs_2024_08_07,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/08072024final.pdf,08072024final.pdf,ea36afd0d13f668b94c5ccb55d82cc3c1cf5d7c83f619b88aadd62d7e10eb6e5,application/pdf,2024-08-07,2026-07-27,
sd_sddot_bid_tabs_2024_08_21_abstract,sd_sddot_bid_tabs_2024_08_21,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/08212024abstract.pdf,08212024abstract.pdf,d7482a264cfad70528711a6dbbf34f78c4e99081f09c43cc771aa83ad7efd436,application/pdf,2024-08-21,2026-07-27,
sd_sddot_bid_tabs_2024_08_21_final,sd_sddot_bid_tabs_2024_08_21,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/08212024final.pdf,08212024final.pdf,85c0de6d0a9ea4517c45d93573673d81b7eac986930dd379f02144ee83f7a85b,application/pdf,2024-08-21,2026-07-27,
sd_sddot_bid_tabs_2024_09_04_abstract,sd_sddot_bid_tabs_2024_09_04,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/09042024abstract.pdf,09042024abstract.pdf,1b3b58d674edf763182abe10d67206077c2503d29ee2f6612434e1999838f1f6,application/pdf,2024-09-04,2026-07-27,
sd_sddot_bid_tabs_2024_09_04_final,sd_sddot_bid_tabs_2024_09_04,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/09042024final.pdf,09042024final.pdf,6144d32cea7ea9787b03bd3827e3d65364b83e918576ea572869d38fb9f543f9,application/pdf,2024-09-04,2026-07-27,
sd_sddot_bid_tabs_2024_09_18_abstract,sd_sddot_bid_tabs_2024_09_18,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/09182024abstract.pdf,09182024abstract.pdf,d481222bec7c0a9a46eaaf8a84d6aeefa56c865c371e5409356cdc060c629996,application/pdf,2024-09-18,2026-07-27,
sd_sddot_bid_tabs_2024_09_18_final,sd_sddot_bid_tabs_2024_09_18,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/09182024final.pdf,09182024final.pdf,6bf3cb0ef53b808a037d74b81295fb5f9445d99e0940e563c9a2c7c669716d25,application/pdf,2024-09-18,2026-07-27,
sd_sddot_bid_tabs_2024_10_02_abstract,sd_sddot_bid_tabs_2024_10_02,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/10022024abstract.pdf,10022024abstract.pdf,f1c33c088ba6e248c4460a1b3d09235436ca9c0f52d6dcd5ba4e59e37691ae7e,application/pdf,2024-10-02,2026-07-27,
sd_sddot_bid_tabs_2024_10_02_final,sd_sddot_bid_tabs_2024_10_02,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/10022024final.pdf,10022024final.pdf,4de0365de5705f59ec34c2ec3266d076eb3d606404537656e4be3cbd9191d524,application/pdf,2024-10-02,2026-07-27,
sd_sddot_bid_tabs_2024_10_16_abstract,sd_sddot_bid_tabs_2024_10_16,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/10162024abstract.pdf,10162024abstract.pdf,7822cb737ed34b55f05dda6c7a59b4eab3f1cc3f1d3f15110578f55cfc597bac,application/pdf,2024-10-16,2026-07-27,
sd_sddot_bid_tabs_2024_10_16_final,sd_sddot_bid_tabs_2024_10_16,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/10162024final.pdf,10162024final.pdf,774fd60db373e64cce8ef8e461fc9e3cfb450c6567185bf94469eafea39f6691,application/pdf,2024-10-16,2026-07-27,
sd_sddot_bid_tabs_2024_11_06_abstract,sd_sddot_bid_tabs_2024_11_06,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/11062024abstract.pdf,11062024abstract.pdf,91dca724dc2212595d2db9e77fdf52af5a9d25cf64cd603c5a23c59111822745,application/pdf,2024-11-06,2026-07-27,
sd_sddot_bid_tabs_2024_11_06_final,sd_sddot_bid_tabs_2024_11_06,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/11062024final.pdf,11062024final.pdf,f485b1a3747da5fef7c263602148a6fa61b16a2141b250219ce6aa7b47b04a9b,application/pdf,2024-11-06,2026-07-27,
sd_sddot_bid_tabs_2024_11_20_abstract,sd_sddot_bid_tabs_2024_11_20,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/11202024abstract.pdf,11202024abstract.pdf,baa2edd0e1a0243b0212a0c0e165f3eb5b5c08c939e64aefd4d5eab0fb525879,application/pdf,2024-11-20,2026-07-27,
sd_sddot_bid_tabs_2024_11_20_final,sd_sddot_bid_tabs_2024_11_20,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/11202024final.pdf,11202024final.pdf,5bfd54ed4abda61b4efbf052c2f1d2ddfed1aa201547161f424b88d55c301a8c,application/pdf,2024-11-20,2026-07-27,
sd_sddot_bid_tabs_2024_12_04_abstract,sd_sddot_bid_tabs_2024_12_04,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/12042024abstract.pdf,12042024abstract.pdf,1ce884bed18514286b71b3055328e54081d95004065f1bf5486b0bcde4e440bb,application/pdf,2024-12-04,2026-07-27,
sd_sddot_bid_tabs_2024_12_04_final,sd_sddot_bid_tabs_2024_12_04,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/12042024final.pdf,12042024final.pdf,b0cca657395c56dccdf7875bbff030ba7efc4515ddee782513e30dbdf09b4d55,application/pdf,2024-12-04,2026-07-27,
sd_sddot_bid_tabs_2024_12_11_abstract,sd_sddot_bid_tabs_2024_12_11,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/12112024abstract.pdf,12112024abstract.pdf,175a4f259483ee5520fc9cdec0f52b399640627add30cbcf9991e1cab119cee2,application/pdf,2024-12-11,2026-07-27,
sd_sddot_bid_tabs_2024_12_11_final,sd_sddot_bid_tabs_2024_12_11,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/12112024final.pdf,12112024final.pdf,8dda941bbde4af59bcc1b2c8b6ad002f24d0de7862b5f94186efe639b1aabb21,application/pdf,2024-12-11,2026-07-27,
sd_sddot_bid_tabs_2025_01_22_abstract,sd_sddot_bid_tabs_2025_01_22,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/01222025abstract.pdf,01222025abstract.pdf,8d307c0eaf1eeecec18abcaf02fbab49e41f6198cc795c4dde29b740bebb213f,application/pdf,2025-01-22,2026-07-27,
sd_sddot_bid_tabs_2025_01_22_final,sd_sddot_bid_tabs_2025_01_22,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/01222025final.pdf,01222025final.pdf,1d2ea5b6d560d5d3075dfa885ff696d3ba51a526db44cebeab37aa99b1159cd0,application/pdf,2025-01-22,2026-07-27,
sd_sddot_bid_tabs_2025_02_05_abstract,sd_sddot_bid_tabs_2025_02_05,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/02052025abstract.pdf,02052025abstract.pdf,7b597c2e3544f4821ba90c7eeccf5ff9fa5a6dd1cfc4e8abad05b559c996b1d5,application/pdf,2025-02-05,2026-07-27,
sd_sddot_bid_tabs_2025_02_05_final,sd_sddot_bid_tabs_2025_02_05,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/02052025final.pdf,02052025final.pdf,18dea1a72ddcb671b3751ffec26c55c1bb3d7318d855c4683a0cd766fdac0dea,application/pdf,2025-02-05,2026-07-27,
sd_sddot_bid_tabs_2025_02_12_abstract,sd_sddot_bid_tabs_2025_02_12,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/02122025abstract.pdf,02122025abstract.pdf,a84c12f2f8e6ce050a14939c4ee5ab41d8ba09af31069589009766a12853e142,application/pdf,2025-02-12,2026-07-27,
sd_sddot_bid_tabs_2025_02_12_final,sd_sddot_bid_tabs_2025_02_12,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/02122025final.pdf,02122025final.pdf,0f4b0fbc4334510504adfdea2681f5057c2c475380f0fafb0b667359d8946009,application/pdf,2025-02-12,2026-07-27,
sd_sddot_bid_tabs_2025_02_19_abstract,sd_sddot_bid_tabs_2025_02_19,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/02192025abstract.pdf,02192025abstract.pdf,c78e5415577f8960d325d5f545f721ee39b55cedd547eecce8f39ce0343d3e10,application/pdf,2025-02-19,2026-07-27,
sd_sddot_bid_tabs_2025_02_19_final,sd_sddot_bid_tabs_2025_02_19,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/02192025final.pdf,02192025final.pdf,795c034a75b83c51139e6751753a95ed8394a69415e97d07df312eedaff67641,application/pdf,2025-02-19,2026-07-27,
sd_sddot_bid_tabs_2025_03_05_abstract,sd_sddot_bid_tabs_2025_03_05,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/03052025abstract.pdf,03052025abstract.pdf,6ee16da28869e531c080df73a9b9304631829486ccc49eac71a1dc5e59555187,application/pdf,2025-03-05,2026-07-27,
sd_sddot_bid_tabs_2025_03_05_final,sd_sddot_bid_tabs_2025_03_05,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/03052025final.pdf,03052025final.pdf,5d7802f5eb88a8d7796c72ab2471103e1b18eb94b7ea2fc49bbc6a3dc961d8e6,application/pdf,2025-03-05,2026-07-27,
sd_sddot_bid_tabs_2025_03_12_abstract,sd_sddot_bid_tabs_2025_03_12,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/03122025abstract.pdf,03122025abstract.pdf,08007634bbc96daba8b1a7a7bc93b353c44810f9244e64dc87bd6bd4c0f439c3,application/pdf,2025-03-12,2026-07-27,
sd_sddot_bid_tabs_2025_03_12_final,sd_sddot_bid_tabs_2025_03_12,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/03122025final.pdf,03122025final.pdf,8a7a481bd9dc59a86c2039d9539a7f56cda2b688f264862af95f5f02a3095f59,application/pdf,2025-03-12,2026-07-27,
sd_sddot_bid_tabs_2025_03_19_abstract,sd_sddot_bid_tabs_2025_03_19,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/03192025abstract.pdf,03192025abstract.pdf,7dd4e2750f2e3fe7edd259fd938f848d87c396b5dd45772f925c989f979d893a,application/pdf,2025-03-19,2026-07-27,
sd_sddot_bid_tabs_2025_03_19_final,sd_sddot_bid_tabs_2025_03_19,final_award_report,https://apps.sd.gov/HC65C2C/EBS/lettings/03192025final.pdf,03192025final.pdf,f67ef998cdb235b6ce78b9a17df79d779050af3bb6dc84b051a2b21c4e40e6ee,application/pdf,2025-03-19,2026-07-27,
sd_sddot_bid_tabs_2025_03_26_abstract,sd_sddot_bid_tabs_2025_03_26,bid_abstract,https://apps.sd.gov/HC65C2C/EBS/lettings/03262025abstract.pdf,03262025abstract.pdf,4de7a523d8e50d07a1b1df5c0e11ff607f6b935f6310714d94a2fa1cbd4c1dda,application/pdf,2025-03-26,2026-07-27,
