contract_project_id,contract_id,project_number,project_control_number,project_name,work_type,county_region,route,location,project_award_amount
sd_sddot_20211020_item_004_project_001,sd_sddot_20211020_item_004,NH-EM 0083(74)55,06L6,"Shared Use Path Construction, Lighting","Shared Use Path Construction, Lighting",Mellette,,US83 - Fm Pony Street in Horse Creek N to White River,
sd_sddot_20211020_item_005_project_001,sd_sddot_20211020_item_005,BRO 8014(00),6868,Structure & Approach Grading,Structure & Approach Grading,Clay,,Structure 0.6 mile south & 15 miles east of Irene over Ash Creek,
sd_sddot_20211020_item_006_project_001,sd_sddot_20211020_item_006,BRO 8024(14),02E8,Structure & Approach Grading,Structure & Approach Grading,Fall River,,Structure 4E & 1.8N of Edgemont over abandoned RR line SN 24-162-102,
sd_sddot_20211020_item_007_project_001,sd_sddot_20211020_item_007,IM-NH-P 0040(345),08E4,Bridge Deck Polymer Chip Seal Repair,Bridge Deck Polymer Chip Seal Repair,"Custer, Lawrence, Meade, Pennington",,Various Highways in the Rapid City Region,
sd_sddot_20211020_item_008_project_001,sd_sddot_20211020_item_008,P 0050(118)226,04V8,Scour Protection at RCBC Outlet,Scour Protection at RCBC Outlet,Brule,,SD50 - 5.4 North of the I90 Loop Over Bad Hand Creek,
sd_sddot_20211020_item_009_project_001,sd_sddot_20211020_item_009,P 0033(30),06FA,RCBC Joint Repair,RCBC Joint Repair,Lyman,,SD273 - 3.5 & 6.5 miles north of Kennebec,
sd_sddot_20211020_item_010_project_001,sd_sddot_20211020_item_010,P 0040(343)32,04PH,ADA Curb Ramps & Sidewalk,ADA Curb Ramps & Sidewalk,Pennington,,SD40 - Through Keystone,
sd_sddot_20211103_item_001_project_001,sd_sddot_20211103_item_001,NH 0018(184)39,03TH,"Urban Recon. PCC Surf, SW, C&G, Lighting","Urban Recon. PCC Surf, SW, C&G, Lighting",Fall River,,US18 - Fm US385 to the Hot Springs City Limits,
sd_sddot_20211103_item_001_project_002,sd_sddot_20211103_item_001,NH 018B(02)40,06DE,"Urban Recon. PCC Surf, SW, C&G, Lighting","Urban Recon. PCC Surf, SW, C&G, Lighting",Fall River,,US18 - Fm US385 to the Hot Springs City Limits,
sd_sddot_20211103_item_001_project_003,sd_sddot_20211103_item_001,NH 0385(48)35,028Z,"Urban Recon. PCC Surf, SW, C&G, Lighting","Urban Recon. PCC Surf, SW, C&G, Lighting",Fall River,,US18 - Fm US385 to the Hot Springs City Limits,
sd_sddot_20211103_item_002_project_001,sd_sddot_20211103_item_002,NH 0385(60)35,07V4,"Urban Reconst. PCC Surf, C&G, Lighting","Urban Reconst. PCC Surf, C&G, Lighting",Fall River,,US385 - Fm N of Jennings Ave to S of Minnekahta Ave in Hot Springs,
sd_sddot_20211103_item_003_project_001,sd_sddot_20211103_item_003,NH 0385(00)35,07W3,Suspended Sidewalk,Suspended Sidewalk,Fall River,,US385 - Fm N of Jennings Ave to S of Minnekahta Ave in Hot Springs,
sd_sddot_20211103_item_004_project_001,sd_sddot_20211103_item_004,2021-001 ( ),X05P,"Water Main, Sanitary Sewer","Water Main, Sanitary Sewer",Fall River,,"US18 fm US385 to the Hot Springs City Limits, US385 fm US385 to N of Jennings Ave and US385 fm S of Minnekahta Ave to Summerville St.",
sd_sddot_20211103_item_004_project_002,sd_sddot_20211103_item_004,HS 2020-100 ( ),X05J,"Water Main, Sanitary Sewer","Water Main, Sanitary Sewer",Fall River,,"US18 fm US385 to the Hot Springs City Limits, US385 fm US385 to N of Jennings Ave and US385 fm S of Minnekahta Ave to Summerville St.",
sd_sddot_20211103_item_005_project_001,sd_sddot_20211103_item_005,NH 0018(214)286,0687,Mill & AC Resurfacing,Mill & AC Resurfacing,Gregory,,US18 - Fm Burke to W of SD43,
sd_sddot_20211117_item_001_project_001,sd_sddot_20211117_item_001,P 0047(112)248,05UT,"AC Surf, Approach Slope Flat, Pipe Work","AC Surf, Approach Slope Flat, Pipe Work",McPherson,,SD47 - Fm Eureka to the ND State Line,
