letting_id,source_id,state,agency_id,letting_date,letting_label
sd_sddot_2019_11_06,sd_sddot_bid_tabs_2019_11_06,SD,sd_sddot,2019-11-06,"November 6, 2019"
sd_sddot_2019_11_20,sd_sddot_bid_tabs_2019_11_20,SD,sd_sddot,2019-11-20,"November 20, 2019"
sd_sddot_2019_12_04,sd_sddot_bid_tabs_2019_12_04,SD,sd_sddot,2019-12-04,"December 4, 2019"
sd_sddot_2019_12_11,sd_sddot_bid_tabs_2019_12_11,SD,sd_sddot,2019-12-11,"December 11, 2019"
sd_sddot_2020_01_22,sd_sddot_bid_tabs_2020_01_22,SD,sd_sddot,2020-01-22,"January 22, 2020"
sd_sddot_2020_02_05,sd_sddot_bid_tabs_2020_02_05,SD,sd_sddot,2020-02-05,"February 5, 2020"
sd_sddot_2020_02_19,sd_sddot_bid_tabs_2020_02_19,SD,sd_sddot,2020-02-19,"February 19, 2020"
sd_sddot_2020_03_04,sd_sddot_bid_tabs_2020_03_04,SD,sd_sddot,2020-03-04,"March 4, 2020"
sd_sddot_2020_03_25,sd_sddot_bid_tabs_2020_03_25,SD,sd_sddot,2020-03-25,"March 25, 2020"
sd_sddot_2020_04_01,sd_sddot_bid_tabs_2020_04_01,SD,sd_sddot,2020-04-01,"April 1, 2020"
sd_sddot_2020_04_15,sd_sddot_bid_tabs_2020_04_15,SD,sd_sddot,2020-04-15,"April 15, 2020"
sd_sddot_2020_05_06,sd_sddot_bid_tabs_2020_05_06,SD,sd_sddot,2020-05-06,"May 6, 2020"
sd_sddot_2020_05_13,sd_sddot_bid_tabs_2020_05_13,SD,sd_sddot,2020-05-13,"May 13, 2020"
sd_sddot_2020_05_20,sd_sddot_bid_tabs_2020_05_20,SD,sd_sddot,2020-05-20,"May 20, 2020"
sd_sddot_2020_06_03,sd_sddot_bid_tabs_2020_06_03,SD,sd_sddot,2020-06-03,"June 3, 2020"
