catalog_row_id,agency_item_id,agency_item_code,description,unit_raw,unit_normalized,specification_year,specification_reference,item_status,source_id,source_page,source_locator
ne_ndot_catalog_0002.90,ne_ndot_0002.90,0002.90,FLASHING ARROW PANEL,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,3,stditeme06252010.pdf#page=3;item=0002.90
ne_ndot_catalog_0002.97,ne_ndot_0002.97,0002.97,FLASHING ARROW PANEL,DAY,DAY,07,422.00,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0002.97
ne_ndot_catalog_0003.00,ne_ndot_0003.00,0003.00,SMARTZONE SYSTEM,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.00
ne_ndot_catalog_0003.01,ne_ndot_0003.01,0003.01,PORTABLE SMARTZONE VIDEO CAMERA,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.01
ne_ndot_catalog_0003.02,ne_ndot_0003.02,0003.02,SMARTZONE TECHNICIAN,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.02
ne_ndot_catalog_0003.05,ne_ndot_0003.05,0003.05,PORTABLE CHANGEABLE MESSAGE SIGN,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.05
ne_ndot_catalog_0003.06,ne_ndot_0003.06,0003.06,CHANGEABLE MESSAGE SIGN,DAY,DAY,07,422.00,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.06
ne_ndot_catalog_0003.10,ne_ndot_0003.10,0003.10,FLAGGING,DAY,DAY,07,422.00,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.10
ne_ndot_catalog_0003.12,ne_ndot_0003.12,0003.12,RAILROAD FLAGGING,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.12
ne_ndot_catalog_0003.13,ne_ndot_0003.13,0003.13,RAILROAD FLAGGING,HOUR,HOUR,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.13
ne_ndot_catalog_0003.15,ne_ndot_0003.15,0003.15,RAILROAD INSURANCE,LUMP SUM,LS,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.15
ne_ndot_catalog_0003.20,ne_ndot_0003.20,0003.20,FURNISHING AND OPERATING PILOT VEHICLE,DAY,DAY,07,422.00,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.20
ne_ndot_catalog_0003.30,ne_ndot_0003.30,0003.30,PORTABLE LIGHT PLANT,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.30
ne_ndot_catalog_0003.34,ne_ndot_0003.34,0003.34,MODIFIED CONCRETE PROTECTION BARRIERS,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.34
ne_ndot_catalog_0003.35,ne_ndot_0003.35,0003.35,MOBILE TRAFFIC CONTROL OPERATION,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.35
ne_ndot_catalog_0003.38,ne_ndot_0003.38,0003.38,FURNISHING AND OPERATING TRUCK MOUNTED ATTENUATOR SYSTEM,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.38
ne_ndot_catalog_0003.40,ne_ndot_0003.40,0003.40,TRUCK MOUNTED ATTENUATOR SYSTEM,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.40
ne_ndot_catalog_0003.42,ne_ndot_0003.42,0003.42,OPERATING TRUCK MOUNTED ATTENUATOR,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.42
ne_ndot_catalog_0003.43,ne_ndot_0003.43,0003.43,FURNISHING AND OPERATING TRUCK MOUNTED ATTENUATOR SYSTEM,LUMP SUM,LS,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.43
ne_ndot_catalog_0003.44,ne_ndot_0003.44,0003.44,RESET CONCRETE PROTECTION BARRIER,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,4,stditeme06252010.pdf#page=4;item=0003.44
ne_ndot_catalog_0003.45,ne_ndot_0003.45,0003.45,CONCRETE BARRIER TRANSITION,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.45
ne_ndot_catalog_0003.47,ne_ndot_0003.47,0003.47,REMOVE CONCRETE PROTECTION BARRIER,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.47
ne_ndot_catalog_0003.48,ne_ndot_0003.48,0003.48,REPAIR CONCRETE PROTECTION BARRIER,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.48
ne_ndot_catalog_0003.49,ne_ndot_0003.49,0003.49,REMOVE CONCRETE PROTECTION BARRIER,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.49
ne_ndot_catalog_0003.50,ne_ndot_0003.50,0003.50,CONCRETE PROTECTION BARRIER,LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.50
ne_ndot_catalog_0003.51,ne_ndot_0003.51,0003.51,INSTALL CONCRETE PROTECTION BARRIER,LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.51
ne_ndot_catalog_0003.53,ne_ndot_0003.53,0003.53,TEMPORARY GLARE SCREEN,LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.53
ne_ndot_catalog_0003.54,ne_ndot_0003.54,0003.54,INSTALL CONCRETE PROTECTION BARRIER,LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.54
ne_ndot_catalog_0003.55,ne_ndot_0003.55,0003.55,INSTALL GLARE SCREEN,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.55
ne_ndot_catalog_0003.56,ne_ndot_0003.56,0003.56,RELOCATE CONCRETE PROTECTION BARRIER,LIN FT,LF,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.56
ne_ndot_catalog_0003.57,ne_ndot_0003.57,0003.57,RELOCATE INERTIAL BARRIER SYSTEM,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.57
ne_ndot_catalog_0003.58,ne_ndot_0003.58,0003.58,INERTIAL BARRIER SYSTEM,EACH,EACH,07,422.00,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.58
ne_ndot_catalog_0003.60,ne_ndot_0003.60,0003.60,INSTALL ENERGY ABSORPTION SYSTEM,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.60
ne_ndot_catalog_0003.62,ne_ndot_0003.62,0003.62,CONNECTING PINS FOR CONCRETE BARRIER,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.62
ne_ndot_catalog_0003.63,ne_ndot_0003.63,0003.63,GLARE SCREEN,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,5,stditeme06252010.pdf#page=5;item=0003.63
