conflict_id,agency_item_code,agency_item_id,automatic_classification,recommended_action,resolution_action,target_agency_item_id,corrected_description,corrected_unit,effective_from,effective_to,source_ids,source_locators,reviewed_by,reviewed_on,resolution_status,notes
ne_ndot_identity_conflict_0003.50,0003.50,ne_ndot_0003.50,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0003.50,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0003.51,0003.51,ne_ndot_0003.51,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0003.51,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_july_june_2018_2019,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0003.53,0003.53,ne_ndot_0003.53,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0003.53,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2023_2024,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0003.56,0003.56,ne_ndot_0003.56,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0003.56,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0030.00,0030.00,ne_ndot_0030.00,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0030.00,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0030.10,0030.10,ne_ndot_0030.10,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0030.10,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0030.30,0030.30,ne_ndot_0030.30,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0030.30,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0030.40,0030.40,ne_ndot_0030.40,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0030.40,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0030.50,0030.50,ne_ndot_0030.50,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0030.50,,,,,ne_ndot_aup_calendar_2018 | ne_ndot_aup_calendar_2019 | ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2023 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2018_2019 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2020_2021 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2022_2023 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
ne_ndot_identity_conflict_0030.51,0030.51,ne_ndot_0030.51,normalized_equivalent,normalized_equivalent,normalized_equivalent,ne_ndot_0030.51,,,,,ne_ndot_aup_calendar_2020 | ne_ndot_aup_calendar_2021 | ne_ndot_aup_calendar_2022 | ne_ndot_aup_calendar_2024 | ne_ndot_aup_calendar_2025 | ne_ndot_aup_july_june_2017_2018 | ne_ndot_aup_july_june_2019_2020 | ne_ndot_aup_july_june_2021_2022 | ne_ndot_aup_july_june_2023_2024 | ne_ndot_aup_july_june_2024_2025 | ne_ndot_aup_july_june_2025_2026,,,,auto_resolved,Raw description or unit variants collapse under the conservative identity normalizer.
